"respondent_id","start_date","end_date","which_of_the_following_would","which_of_the_following_would_1","which_of_the_following_would_2","which_of_the_following_would_3","which_of_the_following_would_4","which_of_the_following_would_5","which_of_the_following_would_6","which_of_the_following_would_7","which_of_the_following_would_8","which_of_the_following_would_9","which_of_the_following_would_10","which_of_the_following_would_11","which_of_the_following_would_12","which_of_the_following_would_13","which_of_the_following_would_14","which_of_the_following_would_15","which_of_the_following_would_16","which_of_the_following_would_17","which_of_the_following_would_18","which_of_the_following_would_19","which_of_the_following_would_20","which_of_the_following_would_21","which_of_the_following_would_22","which_of_the_following_would_23","which_of_the_following_would_24","which_of_the_following_would_25","which_of_the_following_would_26","which_of_the_following_would_27","which_of_the_following_would_28","what_percentage_of_your_income","which_best_describes_your","in_your_opinion_do_you_have","what_do_you_currently_pay","how_often_do_you_use_access","zipcode_your_current_creative","how_do_your_monthly_payments","what_is_the_minimum_square","what_is_the_maximum_price","of_the_following_workspace","of_the_following_workspace_1","of_the_following_workspace_2","of_the_following_workspace_3","of_the_following_workspace_4","of_the_following_workspace_5","of_the_following_workspace_6","of_the_following_workspace_7","which_of_the_following_would_29","which_of_the_following_would_30","which_of_the_following_would_31","which_of_the_following_would_32","which_of_the_following_would_33","which_of_the_following_would_34","which_of_the_following_would_35","which_of_the_following_would_36","which_of_the_following_would_37","which_of_the_following_would_38","which_of_the_following_would_39","which_of_the_following_would_40","which_of_the_following_would_41","which_of_the_following_would_42","which_of_the_following_would_43","which_of_the_following_would_44","which_of_the_following_would_45","which_of_the_following_would_46","which_of_the_following_would_47","which_of_the_following_would_48","which_of_the_following_would_49","which_of_the_following_would_50","which_of_the_following_would_51","which_of_the_following_would_52","which_of_the_following_would_53","which_of_the_following_would_54","which_of_the_following_would_55","which_of_the_following_would_56","which_of_the_following_would_57","which_of_the_following_would_58","which_of_the_following_would_59","which_of_the_following_would_60","which_of_the_following_would_61","which_of_the_following_would_62","which_of_the_following_would_63","which_of_the_following_would_64","which_of_the_following_would_65","which_of_the_following_would_66","which_of_the_following_would_67","please_write_your_top_3_zip","please_write_your_top_3_zip_1","please_write_your_top_3_zip_2","have_space_related_issues","have_space_related_issues_1","have_space_related_issues_2","have_space_related_issues_3","have_space_related_issues_4","have_space_related_issues_5","have_space_related_issues_6","have_space_related_issues_7","have_space_related_issues_8","have_space_related_issues_9","have_space_related_issues_10","which_of_the_following_city","which_of_the_following_city_1","are_you_currently_a_city","how_did_you_find_out_about","how_did_you_find_out_about_1"
"10289552434","2018-10-18T18:06:44.000","2018-10-18T18:12:03.000",,,,,,,,,,,,,"Installation or Public Art",,,,,,,,"Photography",,,"Sculpture",,,,,,"50","I RENT studio or other work space separate from my home","No","$701- $1,000","Daily, less than 5 hours","78702","Increased 76% or more","200 - 350 sq. feet","$2.00","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,"Projection, Movie Theater","Individual Artist Workspace",,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,"Photo Studio",,"Oversized Doors and/or Freight Elevator",,,,"High ceilings",,,,,"78721","78702","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,"Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford",,,,,"Bought a cheap run down house in Detroit to use part time. Have considered moving there full time based on over development of Austin spaces","Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10287455740","2018-10-18T01:46:08.000","2018-10-18T02:00:53.000",,,,,"Dance/Choreography",,,,,,,,,,,,,,,,,,,,,,,,,"10","I don't currently have the space I need for my art or creative work","No","Not relevant to me/ I do not have a workspace separate from my home","Weekly, at least a few days/hours a week","n/a","Not relevant to me/ I do not pay for a space","651 - 800 sq. feet","$0.25",,,"Work in a private workspace, but in a larger complex with other artists","Rent workspace on a temporary, as needed basis (by the hour or day)",,"Share/Sublet my studio part time when I am not using it",,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,"Outdoor Performance Space without amplified sound","Outdoor Performance Space with amplified sound","Fly System, Fly Space","Rehearsal Space, less than 1,000 sq. feet","Rehearsal Space, more than 1,000 sq. feet",,,,,,,,"Running Water","Office Space, less than 5 employees",,,,"Commercial kitchen","Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,"Projection, Movie Theater",,,,,,,,"Oversized Doors and/or Freight Elevator","Ramps/loading dock",,"Wheelchair accessibility","High ceilings",,,,,"78741","78702","78721",,,,,,,,,"Stopped you from expanding your operations",,"I have ventured completely outside of traditional spaces and have asked community members/ business owners to partner with me to allow for my work and others' work that I've produced to exist in their place of business, home or property.","Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10286826315","2018-10-17T17:29:28.000","2018-10-17T17:37:00.000",,,,,,,"Film/TV",,,,,,,,,,,,,,,,,,,,,,,"100","I OWN studio or other work space separate from my home","Yes","$301- $700","Daily, 5 or more hours","78723","Stayed the same","Under 200 sq. feet","1.50/sf",,"Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,"Share/Sublet my studio part time when I am not using it",,,,,,,,,,,,,,,"Air-Conditioned Storage Space","Non-Air Conditioned Storage Space","Running Water","Office Space, less than 5 employees",,,,,,,"Projection, Movie Theater",,,,,,,,,,,,"High ceilings","Live/Work Space",,,"Soundstage","78702","78722","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10286676303","2018-10-17T16:12:29.000","2018-10-17T16:19:57.000",,,,,,,,,,,,,"Installation or Public Art",,,,,,"Painting, Illustration",,,,,"Sculpture",,,,,"Public art/murals","99","I RENT my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","$150- $300","Daily, 5 or more hours","78745","Increased 76% or more","351 - 500 sq. feet","0.2","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,"Retail Space, Storefront",,"Air-Conditioned Storage Space",,,,,,,,,,,,,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,,"Oversized Doors and/or Freight Elevator",,"Floor Drains",,"High ceilings",,,,,"78702","78745","78704",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,"Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford","Been forced to close and/or discontinue your creative practice","Stopped you from pursuing your creative practice professionally",,,,"I do not utilize any of the above City services",,"No","Other (please specify)","Instagram"
"10286298666","2018-10-17T12:01:46.000","2018-10-17T13:49:22.000",,,,,,,,,,,,,,,,,,,"Painting, Illustration",,,,,,,,,,,"0","I don't currently have the space I need for my art or creative work","No","Not relevant to me/ I do not have a workspace separate from my home","Weekly, at least a few days/hours a week","78702","Increased by 6-10%","Under 200 sq. feet","$1.50",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,"Exhibition, Gallery Space, more than 1,000 sq. feet","Retail Space, Storefront","Classroom, teaching space","Air-Conditioned Storage Space",,"Running Water",,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,,,,,"Floor Drains","Wheelchair accessibility","High ceilings",,,,,"78702","78721","78704",,,,,,"Paid for space you could not afford","Been forced to close and/or discontinue your creative practice",,,,,"Professional development workshops or events for creatives and artists",,"No","City of Austin Website",
"10268905660","2018-10-10T00:35:34.000","2018-10-10T00:45:34.000",,,,,,,,,,,"Graphic Design",,,,,"Metalworking",,,,,,"Printmaking",,,,,"Woodworking",,,"90","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","Yes","$1,001 - $1,500","Weekly, at least a few days/hours a week","78702","Stayed the same","501 - 650 sq. feet","0.5","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,,,,"Air-Conditioned Storage Space",,,,,,,,,,,,,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,,"Oversized Doors and/or Freight Elevator","Ramps/loading dock",,,"High ceilings","Live/Work Space",,,,"78702","78701","78722",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,"Stopped you from pursuing a specific job, contract, project, or commission",,,,"Stopped you from expanding your operations",,"Our work requires maintenance due to exposure to weather because we have limited indoor storage","Receiving funding through the Cultural Funding Program",,"Yes","Other (please specify)","was requested to complete it as a fy19 Core awardee"
"10268217752","2018-10-09T16:26:02.000","2018-10-09T16:31:30.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"62","I RENT my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","Yes","$0 - I have space free of charge","Weekly, at least a few days/hours a week","78746","Stayed the same","200 - 350 sq. feet","150","Work at home in a private workspace within my home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soundproofing, Recording Studio",,,,,,,,,,"78746","78703","78701",,,,,,,,,,"None of the Above",,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10266468869","2018-10-09T03:49:42.000","2018-10-09T04:10:21.000",,,,,,,,,,,,,"Installation or Public Art",,,,,,"Painting, Illustration","Performing/Theatre Arts","Photography",,,"Sculpture","Textile/Fiber Arts",,,,"INTERDISCIPLINARY","100","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","$150- $300","Daily, 5 or more hours","78750","Increased by 5% or less","351 - 500 sq. feet","$300 a Month","Work at home in a private workspace within my home",,"Work in a private workspace, but in a larger complex with other artists",,,,,"having studio in Art District area.",,,,,,,,,,"Exhibition, Gallery Space, more than 1,000 sq. feet",,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,"Photo Studio",,"Oversized Doors and/or Freight Elevator","Ramps/loading dock",,"Wheelchair accessibility","High ceilings",,,,,"78702","78704","78703",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,,,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10244928655","2018-09-27T22:27:20.000","2018-09-27T22:43:44.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,"Painting, Illustration",,,,,,,,,,,"5","I RENT my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","Not relevant to me/ I do not have a workspace separate from my home","Rarely, less than 4 days per month","78705","Stayed the same","Under 200 sq. feet","1",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,,,"Running Water",,,,,,,,,"Individual Artist Workspace",,,"Ceramics Studio, Kiln",,,"Soundproofing, Recording Studio",,,,,,,,,,"78702","78705","78703",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,"Stopped you from pursuing a specific job, contract, project, or commission",,"Been forced to close and/or discontinue your creative practice","Stopped you from pursuing your creative practice professionally","Stopped you from expanding your operations",,"My rent used to be 30-50% of what it is today, up to about 5 years ago. I stopped pursuing music performance and had to take on multiple jobs outside of performance (but still arts related) to cover my expenses. I recently took a position outside of the arts in order to build savings after an illness. I realized I needed health benefits. Since my new position is more stable, I am able to pursue my creative outlets as a hobby and small side career.",,,,,
"10236767204","2018-09-24T21:06:15.000","2018-09-24T21:15:07.000",,,,,,,,,,,,,,,,,"Music/Music Composition","New Media, Tech, Digital Arts",,,,,,,,"Web-based Content Production",,,,"20","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","under $150","Daily, less than 5 hours","78752","Stayed the same","Under 200 sq. feet","1",,,,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,"Outdoor Performance Space with amplified sound",,"Rehearsal Space, less than 1,000 sq. feet",,,"Exhibition, Gallery Space, less than 1,000 sq. feet",,,"Classroom, teaching space",,,,,,"Serving Alcohol","Serving Food",,,,,,"Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio",,,,,,,,,,"78752","78723","78721",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,,,,"Receiving funding through the Cultural Funding Program",,"No","Other (please specify)","Applying for CI Funding"
"10234614033","2018-09-24T00:34:45.000","2018-09-24T00:37:04.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"80","I OWN studio or other work space separate from my home","No","$701- $1,000","Daily, 5 or more hours","78733","Stayed the same",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10232772019","2018-09-22T00:13:03.000","2018-09-22T00:23:37.000",,,,,,,,,,,,,,"Jewelry Design",,,,,,,,,,,,,,,,"2","I don't currently have the space I need for my art or creative work","Don't know","under $150","Rarely, less than 4 days per month","78704","Increased by 11-25%","Under 200 sq. feet","0.25","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences",,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,,,,,,,,,,,"Retail Space, Storefront",,,,"Running Water",,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,"Photo Studio",,,,,,,,,,,"78704","78702","78746",,,,,,,,,,"None of the Above",,"I do not utilize any of the above City services",,"No","Other (please specify)","Boss babes"
"10212676475","2018-09-12T09:32:16.000","2018-09-12T09:38:20.000",,,,,,,,,,,,,,,,,,,"Painting, Illustration",,,,,"Sculpture",,,,,,"7","I don't currently have the space I need for my art or creative work","No","$150- $300","Daily, less than 5 hours","78702","Increased by 5% or less","200 - 350 sq. feet","$1.00",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,,,,"Air-Conditioned Storage Space",,"Running Water",,,,,,,,,,,,,,,,,"Ramps/loading dock",,,"High ceilings",,,,,"78702","78756","78752",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state",,"Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford","Been forced to close and/or discontinue your creative practice","Stopped you from pursuing your creative practice professionally",,,,"Professional development workshops or events for creatives and artists",,"No","Other (please specify)","emailed to me"
"10232466826","2018-09-21T17:32:23.000","2018-09-21T17:40:31.000",,,,,,,,,,,,,,,,,,,,,,,,"Sculpture",,,,,,"83","I RENT studio or other work space separate from my home","No","$150- $300","Daily, 5 or more hours","78704","Increased by 5% or less","200 - 350 sq. feet","$1.25",,,"Work in a private workspace, but in a larger complex with other artists",,,,,,,,,,,,,,,,,,,,"Running Water",,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces","Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,,"Oversized Doors and/or Freight Elevator","Ramps/loading dock",,,"High ceilings",,,,,"78756","78751","78722",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,,,"My current space (near Slaughter Lane and South Congress) is really far from my house which is in the Brentwood neighborhood. I spend lots of time in traffic and lots of money on gas to get to my space and have had to limit my hours in the studio since I have to pick my children up from school at Brentwood & Lamar. This was the only place I could find an affordable space! I would love to have more options closer in.","Professional development workshops or events for creatives and artists",,"Yes","Other (please specify)","Through the application for a Community Innitiatives Grant"
"10226378867","2018-09-19T08:05:28.000","2018-09-19T08:12:25.000",,,,,,,,,,,,,,,,,"Music/Music Composition","New Media, Tech, Digital Arts",,,,,,,,,,,,"20","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","Not relevant to me/ I do not have a workspace separate from my home","Daily, 5 or more hours","78749","Increased by 11-25%","200 - 350 sq. feet","0.5","Work at home in a private workspace within my home","Have workspace and living space within a larger complex of studios and residences","Work in a private workspace, but in a larger complex with other artists",,,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,"Outdoor Performance Space with amplified sound",,"Rehearsal Space, less than 1,000 sq. feet",,,,,,"Classroom, teaching space","Air-Conditioned Storage Space",,"Running Water",,,,,,,,"Projection, Movie Theater","Individual Artist Workspace",,"Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,"Soundproofing, Recording Studio","Oversized Doors and/or Freight Elevator","Ramps/loading dock",,,,,,,,"78749","78702","78704",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,"Stopped you from pursuing a specific job, contract, project, or commission",,,,,,,"Receiving funding through the Cultural Funding Program",,"No","City of Austin Website",
"10225515371","2018-09-18T22:09:16.000","2018-09-18T22:13:22.000",,,,,,,,,,,"Graphic Design",,,,,,,"New Media, Tech, Digital Arts","Painting, Illustration",,"Photography",,,,,,,,,"20","I don't currently have the space I need for my art or creative work","No","Not relevant to me/ I do not have a workspace separate from my home","Daily, less than 5 hours","78759","Not relevant to me/ I do not pay for a space","351 - 500 sq. feet","0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10223741395","2018-09-12T19:40:49.000","2018-09-18T08:56:40.000",,,,,,,,,,,,,,,,,,,,"Performing/Theatre Arts",,,,,,,,,,"27","I need space occassionaly and rent on an as needed basis","Yes","Not relevant to me/ I do not have a workspace separate from my home","Weekly, at least a few days/hours a week","78753","Stayed the same","200 - 350 sq. feet","0.25/sf","Work at home in a private workspace within my home",,"Work in a private workspace, but in a larger complex with other artists",,,"Share/Sublet my studio part time when I am not using it",,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,"Rehearsal Space, less than 1,000 sq. feet",,,,,,,,"Non-Air Conditioned Storage Space",,,,,,,"Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,,,,,,,,,,,,"Wheelchair accessibility",,,,,,"78702","78721","78753",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,"Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford",,"Stopped you from pursuing your creative practice professionally","Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City staff",
"10221345270","2018-09-17T08:23:48.000","2018-09-17T08:34:32.000",,,,,,,,,,,,,,,,,,,,"Performing/Theatre Arts",,,,,,,,,,"98","I need space occassionaly and rent on an as needed basis","No","$150- $300","Monthly, a few days/hours a month","78704","Increased 76% or more","501 - 650 sq. feet","$.25",,"Have workspace and living space within a larger complex of studios and residences",,,,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium",,,,"Rehearsal Space, less than 1,000 sq. feet","Rehearsal Space, more than 1,000 sq. feet",,,,,,"Air-Conditioned Storage Space",,,,,,,,,,,"Individual Artist Workspace","Multiple Artist Workspaces",,,,,"Soundproofing, Recording Studio",,"Ramps/loading dock",,,"High ceilings","Live/Work Space",,,,"78702","78719","78742","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state","Canceled a performance or production","Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford",,,"Stopped you from expanding your operations",,"it feels at this point like support for artists in Austin by way of physical space to create/present work has virtually disappeared.  the disappearance of so many artist and performance spaces has meant that many of my collaborators have left town and I am considering leaving as well.  I wish the city had planned for this so that some spaces were designated as subsidized art spaces before so many artists left and so many vital cultural institutions disappeared (ie. The Off Center/Rude Mechs Theater Co.).","Receiving funding through the Cultural Funding Program",,"Don't Know","Other (please specify)","it is part of the grant application for community initiatives"
"10212687081","2018-09-12T09:36:25.000","2018-09-12T09:56:57.000","Animation",,,,"Dance/Choreography",,"Film/TV",,,,,,,,,,,,,"Performing/Theatre Arts",,,,,,,,,,"48","I OWN my home and have space within my home that I use for creative work (including home studios separate from living areas, e.g. granny flat, garage studio, etc.)","No","Not relevant to me/ I do not have a workspace separate from my home","Weekly, at least a few days/hours a week","78733","Increased by 5% or less","351 - 500 sq. feet","0.75","Work at home in a private workspace within my home",,"Work in a private workspace, but in a larger complex with other artists","Rent workspace on a temporary, as needed basis (by the hour or day)",,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,,,"Rehearsal Space, less than 1,000 sq. feet",,"Mirrors/mirrored wall","Exhibition, Gallery Space, less than 1,000 sq. feet",,,,,,,,,,,,"Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,"Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces",,,,,,"Oversized Doors and/or Freight Elevator",,,,"High ceilings",,,,,"78733","78701","78702",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,,,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Yes","City of Austin Newsletters",
"10218977798","2018-09-15T04:02:19.000","2018-09-15T04:13:51.000","Animation",,,,,,"Film/TV",,,,"Graphic Design",,"Installation or Public Art",,,,"Music/Music Composition","New Media, Tech, Digital Arts","Painting, Illustration",,"Photography",,,,,"Web-based Content Production",,,,"100","I RENT studio or other work space separate from my home","No","$301- $700","Weekly, at least a few days/hours a week","78758","Increased by 6-10%","801 - 1,000 sq. feet","$600","Work at home in a private workspace within my home",,,,"Coworking/shared maker space with access to a shared space with craft/discipline specific shared tools and resources",,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)",,,"Outdoor Performance Space with amplified sound",,,,,,"Exhibition, Gallery Space, more than 1,000 sq. feet",,,,,"Running Water",,"Office Space, more than 5 employees",,,,,,"Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces","Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,"Film Processing, Darkroom","Photo Studio","Soundproofing, Recording Studio",,"Ramps/loading dock",,,,,,,,"78721","78702","78723",,"Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,"Stopped you from pursuing a specific job, contract, project, or commission",,,,"Stopped you from expanding your operations",,,"Receiving funding through the Cultural Funding Program",,"Don't Know","City of Austin Newsletters",
"10216335627","2018-09-13T17:27:31.000","2018-09-13T17:33:33.000",,,,,"Dance/Choreography",,,,,,,,,,,,,,,,,,,,,,,,,"25","I RENT studio or other work space separate from my home","No","$150- $300","Weekly, at least a few days/hours a week","78721","Increased by 5% or less","1,001 - 1,500 sq. feet","$0.20",,,,"Rent workspace on a temporary, as needed basis (by the hour or day)",,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium","Outdoor Performance Space without amplified sound","Outdoor Performance Space with amplified sound",,,"Rehearsal Space, more than 1,000 sq. feet","Mirrors/mirrored wall",,,,,,,,,,,,,"Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)",,,,,,,,,,,,,,"High ceilings",,,,,"78702","78721","78722","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)",,,"Stopped you from pursuing a specific job, contract, project, or commission","Paid for space you could not afford",,,,,,"Renting City facilities on an as needed basis",,"Don't Know","Other (please specify)","CI Grant Application"
"10214296790","2018-09-12T23:31:54.000","2018-09-12T23:37:29.000",,,,,,,,,,,,,,,"Literary Arts",,,,,"Performing/Theatre Arts",,,,,,,,,,"20","I don't currently have the space I need for my art or creative work","No","Not relevant to me/ I do not have a workspace separate from my home","Daily, 5 or more hours","N/A","Increased 26-50%","801 - 1,000 sq. feet","0.25",,"Have workspace and living space within a larger complex of studios and residences",,,,"Share/Sublet my studio part time when I am not using it",,"need accessible theater space & rehearsal rooms","Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium","Outdoor Performance Space without amplified sound","Outdoor Performance Space with amplified sound",,"Rehearsal Space, less than 1,000 sq. feet","Rehearsal Space, more than 1,000 sq. feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78702","78704","78721","Used a space beyond the Austin city limits","Used a space that was not ideal for your needs (not the right size, lacking needed equipment, not located in your preferred region, etc.)","Considered permanently leaving Austin for another city or state","Canceled a performance or production",,"Paid for space you could not afford",,,"Stopped you from expanding your operations",,"I started making plays that didn't need theaters because after the Rude Mechs' lost their permanent space there was not an affordable/accessible venue.    I wish that the ZACH (which is heavily subsidized by the city) would share/rent their performance and rehearsal spaces when they aren't using them.","Receiving funding through the Cultural Funding Program",,"No","Other (please specify)","Email from the City (former grant recipient)"
"10214116076","2018-09-12T20:56:34.000","2018-09-12T20:58:18.000",,,,,,"Fashion Design",,,,,,,,,,,,,,,,,,,,,,,,"75","I RENT studio or other work space separate from my home","No","$301- $700","Daily, 5 or more hours","78753","Stayed the same",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10213844280","2018-09-12T17:23:44.000","2018-09-12T18:03:25.000",,,,,,,,,,,,,,,,,"Music/Music Composition",,,,,,,,,,,,,"10","I need space occassionaly and rent on an as needed basis","Don't know","under $150","Weekly, at least a few days/hours a week","78705","Stayed the same","Under 200 sq. feet","$1.00","Work at home in a private workspace within my home",,,"Rent workspace on a temporary, as needed basis (by the hour or day)",,,,,"Indoor Performance Space: Black Box/Flex Space  (i.e. no fixed seats)","Indoor Performance Space, Auditorium, Thrust Stage, Proscenium","Outdoor Performance Space without amplified sound","Outdoor Performance Space with amplified sound",,"Rehearsal Space, less than 1,000 sq. feet","Rehearsal Space, more than 1,000 sq. feet",,,,,"Classroom, teaching space",,,"Running Water","Office Space, less than 5 employees","Office Space, more than 5 employees","Serving Alcohol","Serving Food","Commercial kitchen","Specialty Floors (Marley, Subfloor, Acro Mats, Sprung Floors)","Raked Seats","Projection, Movie Theater","Individual Artist Workspace","Multiple Artist Workspaces","Light Industrial Workshop (mechanical equipment, flammable materials, ventilation)",,,,"Soundproofing, Recording Studio",,,,,,"Live/Work Space",,,,"78701","78704","78705","Used a space beyond the Austin city limits",,,,,"Paid for space you could not afford",,,,,,"Receiving funding through the Cultural Funding Program",,"Yes","City of Austin Newsletters",
