LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
4337758301,01/23/2021,0681,PPS,SAN MARCOS TAVERN INC,804 Chestnut St Ste D,San Marcos,TX,78666-4559,09/29/2021,Paid in Full,60,100,88500,88500,0,,71783,Frost Bank,111 W Houston St,SAN ANTONIO,TX,78205-1414,R,Y,N,Existing or more than 2 years old,San Marcos,HAYS,TX,78666-4559,TX-21,15,722410,Unanswered,Not Hispanic or Latino,1,88497,,,,,,Subchapter S Corporation,71783,Frost Bank,SAN ANTONIO,TX,Male Owned,Non-Veteran,,88958.26,08/04/2021
6276168905,05/01/2021,0681,PPS,KJCW LLC,23120 TX-71,Spicewood,TX,78669,03/16/2022,Paid in Full,60,100,87878,87878,0,,122478,Keystone Bank SSB,13715 E. Ladera Blvd.,Bee Cave,TX,78738,R,N,N,Existing or more than 2 years old,Spicewood,BLANCO,TX,78669,TX-21,6,722410,White,Not Hispanic or Latino,,87878,,,,,,Limited  Liability Company(LLC),122478,Keystone Bank SSB,Bee Cave,TX,Male Owned,Non-Veteran,,88151.4,08/25/2021
2997728408,02/04/2021,0681,PPS,NATE'S AT BUDA MILL AND GRAIN INC,306 S Main St Ste 101,Buda,TX,78610-3867,11/19/2021,Paid in Full,60,100,87356.5,87356.5,0,,69225,"American Bank, National Association",5120 S. Padre Island Dr,CORPUS CHRISTI,TX,78411-4208,R,N,N,Existing or more than 2 years old,Buda,HAYS,TX,78610-3867,TX-21,9,722410,Unanswered,Unknown/NotStated,1,87353.5,,,,,,Corporation,69225,"American Bank, National Association",CORPUS CHRISTI,TX,Male Owned,Non-Veteran,,87926.74,10/06/2021
2771117109,04/11/2020,0681,PPP,"CUS AUSTIN, LLC",501 EAST 6TH STREET,AUSTIN,TX,78701-3741,09/30/2021,Paid in Full,24,100,86089,86089,0,,39099,BankPlus,202 E Jackson St,BELZONI,MS,39038-3524,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3741,TX-37,5,722410,Unanswered,Not Hispanic or Latino,51653,34436,,,,,,Limited  Liability Company(LLC),29047,"First Bank and Trust, A Division of BankPlus",New Orleans,LA,Female Owned,Non-Veteran,,36731.36,07/14/2021
6445097707,05/01/2020,0681,PPP,MARTIN'S MARISCOS TAMPICO RESTAURANT,10601 N LAMAR BLVD,AUSTIN,TX,78753-3461,,Exemption 4,120,100,59512,85640,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,AUSTIN,TRAVIS,TX,78753-3461,TX-17,19,722410,White,Hispanic or Latino,,85640,,,,,,Limited  Liability Company(LLC),9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,61414.54,07/02/2021
2758538304,01/21/2021,0681,PPS,NINE SUGARS LLC,1404 W 6th St,Austin,TX,78703-5106,07/09/2021,Paid in Full,60,100,85500,85500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78703-5106,TX-37,14,722410,Unanswered,Unknown/NotStated,1,85497,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,85842,06/15/2021
1713387204,04/15/2020,0681,PPP,"THE MARC ON THE SQUARE, LLC",120 E San Antonio St,SAN MARCOS,TX,78666,03/18/2021,Paid in Full,24,100,55200,84200,0,,71866,Schertz Bank & Trust,519 Main St,SCHERTZ,TX,78154-2144,R,Y,N,Unanswered,SAN MARCOS,HAYS,TX,78666-0001,TX-15,34,711310,White,Not Hispanic or Latino,,84200,,,,,,Limited  Liability Company(LLC),71866,Schertz Bank & Trust,SCHERTZ,TX,Male Owned,Non-Veteran,,84854.89,02/11/2021
2853838810,04/13/2021,0681,PPS,THE MARC ON THE SQUARE LLC,120 E San Antonio St,San Marcos,TX,78666-5509,12/16/2021,Paid in Full,60,100,84200,84200,0,,71866,Schertz Bank & Trust,519 Main St,SCHERTZ,TX,78154-2144,R,Y,N,Existing or more than 2 years old,San Marcos,HAYS,TX,78666-5509,TX-15,34,711310,White,Not Hispanic or Latino,1,84194,,,,,,Limited  Liability Company(LLC),71866,Schertz Bank & Trust,SCHERTZ,TX,Male Owned,Non-Veteran,,84667.78,11/02/2021
4681547104,04/13/2020,0681,PPP,SHINDIG BAR INC,13201 POND SPRINGS RD STE 208,AUSTIN,TX,78729-7104,04/22/2021,Paid in Full,24,100,84200,84200,0,,71783,Frost Bank,111 W Houston St,SAN ANTONIO,TX,78205-1414,U,N,Y,Existing or more than 2 years old,AUSTIN,WILLIAMSON,TX,78729-7104,TX-37,14,722410,Unanswered,Unknown/NotStated,,84200,,,,,,Subchapter S Corporation,71783,Frost Bank,SAN ANTONIO,TX,Male Owned,Non-Veteran,,84975.1,03/25/2021
5140618600,03/20/2021,0681,PPS,WILLIE'S JOINT LLC,824 Main St,Buda,TX,78610-3307,09/17/2021,Paid in Full,60,100,84167,84167,0,,110490,Falcon International Bank,7718 McPherson Rd,LAREDO,TX,78045-2805,R,N,N,Existing or more than 2 years old,Buda,HAYS,TX,78610-3307,TX-21,20,722410,Unanswered,Unknown/NotStated,1,84161,,,,,,Limited  Liability Company(LLC),110490,Falcon International Bank,LAREDO,TX,Male Owned,Unanswered,,84491.98,08/17/2021
3305057700,05/01/2020,0681,PPP,GOURDOUGHS LLC,1503 S. 1st St,Austin,TX,78704,06/17/2021,Paid in Full,24,100,84033.55,84033.55,0,,529050,"Square Capital, LLC","1455 Market Street, Suite 600",San Francisco,CA,94103,U,Y,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78704-0001,TX-21,11,722410,Unanswered,Unknown/NotStated,10504.19,63025.16,10504.2,,,,,Limited  Liability Company(LLC),223542,Celtic Bank Corporation,SALT LAKE CITY,UT,Unanswered,Unanswered,,84880.79,05/06/2021
7718908600,03/24/2021,0681,PPS,HILLTOP BAR AND GRILL,22308 State Highway 71 W,Spicewood,TX,78669-6585,07/31/2021,Paid in Full,60,100,83720,83720,0,,69949,Security State Bank & Trust,201 W Main St,FREDERICKSBURG,TX,78624-3709,U,N,N,Existing or more than 2 years old,Spicewood,TRAVIS,TX,78669-6585,TX-10,10,722410,Unanswered,Unknown/NotStated,1,83714,,,,,,Corporation,69949,Security State Bank & Trust,FREDERICKSBURG,TX,Unanswered,Unanswered,,83982.79,07/23/2021
9470357109,04/15/2020,0681,PPP,OLD PECAN STREET ENTERPRISES INC,504 TRINITY ST,AUSTIN,TX,78701-3714,04/06/2021,Paid in Full,24,100,83500,83500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3714,TX-37,4,722410,Unanswered,Not Hispanic or Latino,,83500,,,,,,Corporation,70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,84244.54,03/05/2021
5800948503,03/01/2021,0681,PPS,THE AUSTIN BARREL CONCEPT LLC,440 E Saint Elmo Rd Ste A-1,Austin,TX,78745-1260,08/23/2022,Paid in Full,60,100,82968,82968,0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78745-1260,TX-37,10,722410,Unanswered,Unknown/NotStated,1,82966,,,,,,Limited  Liability Company(LLC),121536,Customers Bank,Malvern,PA,Unanswered,Unanswered,,84027.26,06/15/2022
1047897310,04/28/2020,0681,PPP,"TAS ENTERTAINMENT, LLC.",13492 Research Blvd #120357,AUSTIN,TX,78750-2252,03/10/2021,Paid in Full,24,100,82500,82500,0,,52905,First Western Bank & Trust,900 S Broadway,MINOT,ND,58701-4658,U,N,N,Unanswered,AUSTIN,WILLIAMSON,TX,78750-2252,TX-10,4,711310,Unanswered,Unknown/NotStated,,78500,,,4000,,,Corporation,52905,First Western Bank & Trust,MINOT,ND,Unanswered,Unanswered,,82995.46,02/12/2021
4767067005,04/04/2020,0681,PPP,MJL INTERESTS LLC,801 Springdale Rd,AUSTIN,TX,78702-4041,12/05/2020,Paid in Full,24,100,82500,82500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78702-4041,TX-37,10,722410,Unanswered,Not Hispanic or Latino,,82500,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,83020.83,02/12/2021
3549138703,03/31/2021,0681,PPS,AVANATOR GROUP INC,1700 Grand Avenue Pkwy Ste 240 Bldg 2,Pflugerville,TX,78660-2073,05/12/2022,Paid in Full,60,100,82005,82005,0,,72601,"Zions Bank, A Division of",1 S Main St,SALT LAKE CITY,UT,84133-1109,U,N,N,Existing or more than 2 years old,Pflugerville,TRAVIS,TX,78660-2073,TX-17,15,722410,Unanswered,Not Hispanic or Latino,1,82001,,,,,,Corporation,72601,"Zions Bank, A Division of",SALT LAKE CITY,UT,Male Owned,Non-Veteran,,82881.22,04/27/2022
8304478400,02/13/2021,0681,PPS,TIPSY ALCHEMIST AUSTIN LLC,70 Rainey St # 200,Austin,TX,78701-4737,01/15/2022,Paid in Full,60,100,81104.38,81104.38,0,,71653,Vista Bank,5840 W Northwest Hwy,DALLAS,TX,75225-3201,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-4737,TX-37,18,722410,Unanswered,Unknown/NotStated,1,81102.38,,,,,,Limited  Liability Company(LLC),71653,Vista Bank,DALLAS,TX,Unanswered,Unanswered,,81753.22,12/14/2021
2754548310,01/21/2021,0681,PPS,LAVACA SOUTH LAMAR LP,801 Springdale Rd,Austin,TX,78702-4041,09/15/2021,Paid in Full,60,100,80500,80500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78702-4041,TX-37,4,722410,Unanswered,Not Hispanic or Latino,1,80497,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,80940.51,08/09/2021
4791937006,04/04/2020,0681,PPP,"CASINO EL CAMINO, LTD",517 E. 6th Street,AUSTIN,TX,78701-3741,03/05/2021,Paid in Full,24,100,80000,80000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3741,TX-37,24,722410,Unanswered,Unknown/NotStated,,80000,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,80673.33,02/09/2021
4803928607,03/20/2021,0681,PPS,SHINDIG BAR INC,13201 Pond Springs Rd Ste 208,Austin,TX,78729-7122,01/31/2022,Paid in Full,60,100,80000,80000,0,,71783,Frost Bank,111 W Houston St,SAN ANTONIO,TX,78205-1414,U,N,Y,Existing or more than 2 years old,Austin,WILLIAMSON,TX,78729-7122,TX-37,14,722410,Unanswered,Unknown/NotStated,1,79995,,,,,,Subchapter S Corporation,71783,Frost Bank,SAN ANTONIO,TX,Male Owned,Non-Veteran,,80572.05,12/09/2021
4401297108,04/13/2020,0681,PPP,"THE GROWLER BAR, LLC",1300 FM 685 STE 100,PFLUGERVILLE,TX,78660,04/20/2021,Paid in Full,24,100,79977.5,79977.5,0,,39848,Cadence Bank,201 S Spring St,TUPELO,MS,38804-4811,U,N,N,New Business or 2 years or less,PFLUGERVILLE,TRAVIS,TX,78660-0001,TX-17,13,722410,White,Not Hispanic or Latino,,79977.5,,,,,,Limited  Liability Company(LLC),39848,Cadence Bank,TUPELO,MS,Male Owned,Non-Veteran,,80708.41,03/18/2021
5277538307,01/25/2021,0681,PPS,1818 VENTURES LLC,601 E Whitestone Blvd Ste 600,Cedar Park,TX,78613-9047,10/20/2021,Paid in Full,60,100,79912,79912,0,,105536,Susser Bank,"100 Crescent Ct, Ste. 575",DALLAS,TX,75201,U,N,N,Existing or more than 2 years old,Cedar Park,WILLIAMSON,TX,78613-9047,TX-31,14,722410,Unanswered,Unknown/NotStated,,79911,,,,,,Limited  Liability Company(LLC),105536,Susser Bank,DALLAS,TX,Unanswered,Unanswered,,80358.63,08/27/2021
1037658703,03/26/2021,0681,PPS,KPP INTERNATIONAL INC,4134 Felter Ln Ste B,Austin,TX,78744-3210,01/12/2022,Paid in Full,60,100,79873,79873,0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78744-3210,TX-35,19,722410,Unanswered,Not Hispanic or Latino,,79872,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Male Owned,Non-Veteran,,80415.7,12/03/2021
1441927108,04/10/2020,0681,PPP,FSW VENTURES LLC,127 E HOPKINS ST,SAN MARCOS,TX,78666-5611,06/11/2021,Paid in Full,24,100,79700,79700,0,,71727,Broadway National Bank,1177 NE Loop 410,SAN ANTONIO,TX,78209-1517,R,Y,N,Existing or more than 2 years old,SAN MARCOS,HAYS,TX,78666-5611,TX-15,15,722410,White,Not Hispanic or Latino,,79700,,,,,,Limited  Liability Company(LLC),71727,Broadway National Bank,SAN ANTONIO,TX,Male Owned,Non-Veteran,,80567.84,05/18/2021
3577978803,04/15/2021,0681,PPS,JETE INC,545 Manchester Ln,Austin,TX,78737-4543,03/05/2022,Paid in Full,60,100,78432.09,78432.09,0,,69819,Prosperity Bank,1301 N Mechanic,El Campo,TX,77437,R,N,N,Existing or more than 2 years old,Austin,HAYS,TX,78737-4543,TX-25,8,722410,Unanswered,Unknown/NotStated,1,78428.09,,,,,,Subchapter S Corporation,69819,Prosperity Bank,El Campo,TX,Female Owned,Veteran,,79063.84,02/09/2022
2373998410,02/03/2021,0681,PPS,GTOPM LLC,1502 W Ben White Blvd,Austin,TX,78704-7606,11/09/2021,Paid in Full,60,100,78300,78300,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78704-7606,TX-21,10,722410,Unanswered,Unknown/NotStated,1,78298,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,78819.82,10/04/2021
9845197204,04/28/2020,0681,PPP,SHYSGGROUPLLC,119 E Hutchinson Street,SAN MARCOS,TX,78666,06/24/2021,Paid in Full,24,100,78300,78300,0,,71866,Schertz Bank & Trust,519 Main St,SCHERTZ,TX,78154-2144,R,N,N,Unanswered,SAN MARCOS,HAYS,TX,78666-0001,TX-15,13,722410,Unanswered,Unknown/NotStated,,78300,,,,,,Limited  Liability Company(LLC),71866,Schertz Bank & Trust,SCHERTZ,TX,Male Owned,Unanswered,,79111.27,05/24/2021
1905278305,01/20/2021,0681,PPS,ONE CHORD SONG LLC,4425 S Mo Pac Expy Ste 601,Austin,TX,78735-6757,11/18/2021,Paid in Full,60,100,77610,77610,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78735-6757,TX-37,8,711130,White,Not Hispanic or Latino,,77610,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,78156.46,10/06/2021
1477957108,04/10/2020,0681,PPP,THE RANCH LLC,710 6TH ST,AUSTIN,TX,78701-2708,04/06/2021,Paid in Full,24,100,77600,77600,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-2708,TX-37,30,722410,Unanswered,Not Hispanic or Latino,,77600,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,78339.36,03/22/2021
2351177109,04/10/2020,0681,PPP,1523 EL DORADO INC,"407 East 6th Street, Suite B",AUSTIN,TX,78701-3739,03/05/2021,Paid in Full,24,100,77500,77500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3739,TX-37,14,722410,White,Not Hispanic or Latino,,77500,,,,,,Corporation,70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,78132.92,02/02/2021
4412427007,04/03/2020,0681,PPP,SMALL VICTORY LLC,108 E. 7TH ST,AUSTIN,TX,78701-3209,06/04/2021,Paid in Full,24,100,77500,77500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3209,TX-37,7,722410,Unanswered,Not Hispanic or Latino,,77500,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,78341.74,05/05/2021
5406837010,04/05/2020,0681,PPP,"AUSTIN MY HOUSTON, LLC",121  5TH ST,AUSTIN,TX,78701-3601,03/05/2021,Paid in Full,24,100,77500,77500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-3601,TX-37,19,722410,Unanswered,Not Hispanic or Latino,,77500,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,78165.21,02/16/2021
5414547006,04/05/2020,0681,PPP,"MANOR GUYS, LLC",2805 MANOR RD,AUSTIN,TX,78722-1711,03/05/2021,Paid in Full,24,100,77500,77500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78722-1711,TX-25,28,722410,Unanswered,Unknown/NotStated,,77500,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,78165.21,02/16/2021
3871447410,05/08/2020,0681,PPP,UNBARLIEVABLE LLC,76 Rainey Street,AUSTIN,TX,78701,05/29/2021,Paid in Full,24,100,76800,76800,0,,72188,American Bank of Commerce,530 E Hwy 62/82,WOLFFORTH,TX,79382-9382,U,N,N,Unanswered,AUSTIN,TRAVIS,TX,78701-0001,TX-37,19,722410,Unanswered,Unknown/NotStated,,57600,,19200,,,,Limited  Liability Company(LLC),72188,American Bank of Commerce,WOLFFORTH,TX,Male Owned,Unanswered,,77265.01,12/23/2020
3894268610,03/17/2021,0681,PPS,GEJCCJ INC,1110 E Palm Valley Blvd,Round Rock,TX,78664-3234,01/12/2022,Paid in Full,60,100,76678,76678,0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,Round Rock,WILLIAMSON,TX,78664-3234,TX-31,6,722410,White,Hispanic or Latino,1,76674,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Female Owned,Non-Veteran,,77222.1,12/03/2021
2391618601,03/15/2021,0681,PPS,KLODGE INC,407 E 6th St Ste B,Austin,TX,78701-3739,08/13/2022,Paid in Full,60,100,76569,76569,0,,529471,Itria Ventures LLC,"One Penn Plaza, Suite 4530",New York,NY,10119,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3739,TX-37,15,722410,White,Not Hispanic or Latino,1,76564,,,,,,Corporation,529471,Itria Ventures LLC,New York,NY,Male Owned,Unanswered,,77538.87,07/06/2022
4918397302,04/30/2020,0681,PPP,LAWMAN PROMOTIONS LTD,108 Bella Cima Drive,Austin,TX,78734,05/20/2021,Paid in Full,24,100,75960,75960,0,,113190,American Express National Bank,115 West Towne Ridge Parkway,Sandy,UT,84070,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78734-0001,TX-10,5,711310,Unanswered,Unknown/NotStated,0,75960,0,0,,0,0,Subchapter S Corporation,113190,American Express National Bank,Sandy,UT,Unanswered,Unanswered,,76673.82,04/15/2021
3164228607,03/16/2021,0681,PPS,HOUSE WINE AUSTIN LLC,408 Josephine St,Austin,TX,78704-1017,04/01/2021,Paid in Full,60,100,75814,75814,0,,72188,American Bank of Commerce,530 E Hwy 62/82,WOLFFORTH,TX,79382-9382,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78704-1017,TX-21,10,722410,White,Not Hispanic or Latino,1,75811,,,,,,Corporation,72188,American Bank of Commerce,WOLFFORTH,TX,Female Owned,Non-Veteran,,76090.25,07/30/2021
4152088403,02/06/2021,0681,PPS,UPSTAIRS CIRCUS ATX LLC,234 W 2nd St,Austin,TX,78701-4160,09/28/2021,Paid in Full,60,100,75734,75734,0,,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-4160,TX-37,12,722410,White,Not Hispanic or Latino,1,75730,,,,,,Limited  Liability Company(LLC),456756,Cross River Bank,TEANECK,NJ,Male Owned,Non-Veteran,,76088.81,08/24/2021
5334628405,02/08/2021,0681,PPS,ATX BACKLINE,18105 Foust Dr,Buda,TX,78610-9746,03/16/2022,Paid in Full,60,100,75417,75417,0,,122478,Keystone Bank SSB,13715 E. Ladera Blvd.,Bee Cave,TX,78738,R,N,Y,Existing or more than 2 years old,Buda,HAYS,TX,78610-9746,TX-21,12,711130,White,Not Hispanic or Latino,1,75414,,,,,,Corporation,122478,Keystone Bank SSB,Bee Cave,TX,Male Owned,Non-Veteran,,75812.94,08/25/2021
3889137300,04/29/2020,0681,PPP,MJS VENTURES LLC,207 East 53rd Street,AUSTIN,TX,78751,03/05/2021,Paid in Full,24,100,75000,75000,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78751-0001,TX-37,7,722410,Unanswered,Not Hispanic or Latino,,75000,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Female Owned,Non-Veteran,,75482.67,02/12/2021
3187207706,05/01/2020,0681,PPP,"INTERNATIONAL MUSICIANS LEAGUE, INC.",501 CONGRESS AVE STE 150,AUSTIN,TX,78701,09/30/2021,Paid in Full,24,100,74962,74962,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-0001,TX-37,4,711130,Unanswered,Unknown/NotStated,,74962,,,,,,Subchapter S Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,75919.06,08/16/2021
2245408305,01/20/2021,0681,PPS,CONGRESS AVENUE INC,505 Neches St,Austin,TX,78701-3709,09/14/2021,Paid in Full,60,100,74800,74800,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3709,TX-37,14,722410,Unanswered,Unknown/NotStated,,74800,,,,,,Corporation,70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,75209.32,08/06/2021
8237628309,01/29/2021,0681,PPS,HOOMS INC,208 E 6th St,Austin,TX,78701-3626,10/09/2021,Paid in Full,60,100,74375,74375,0,,69819,Prosperity Bank,1301 N Mechanic,El Campo,TX,77437,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3626,TX-37,14,722410,Unanswered,Unknown/NotStated,1,74369,,,,,,Corporation,69819,Prosperity Bank,El Campo,TX,Unanswered,Unanswered,,74784.57,08/24/2021
2456338308,01/20/2021,0681,PPS,503 E. 6TH STREET LLC,503 E 6th St,Austin,TX,78701-3732,08/05/2021,Paid in Full,60,100,74200,74200,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-3732,TX-37,15,722410,Unanswered,Not Hispanic or Latino,1,74193,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,74577.18,07/23/2021
6117417000,04/06/2020,0681,PPP,"WHITESTONE BREWERY, LLC",601 E WHITESTONE BLVD Ste 500,CEDAR PARK,TX,78613-9015,07/20/2021,Paid in Full,24,100,74000,74000,0,,454766,Third Coast Bank,"20202 Hwy 59 North, Ste 190",Humble,TX,77338,U,N,N,Existing or more than 2 years old,CEDAR PARK,WILLIAMSON,TX,78613-9015,TX-31,16,722410,White,Not Hispanic or Latino,,74000,,,,,,Limited  Liability Company(LLC),454766,Third Coast Bank,Humble,TX,Male Owned,Non-Veteran,,74877.72,06/22/2021
3100218409,02/04/2021,0681,PPS,CANNON SPORTS MANAGEMENT LLC,704 Crystal Ter,Austin,TX,78733-6125,05/11/2022,Paid in Full,60,100,73800,73800,0,,467147,Valliance Bank,"1601 NW Expwy, Ste 100",OKLAHOMA CITY,OK,73118-1420,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78733-6125,TX-37,5,711310,Unanswered,Not Hispanic or Latino,1,73796,,,,,,Limited  Liability Company(LLC),467147,Valliance Bank,OKLAHOMA CITY,OK,Male Owned,Non-Veteran,,74691.75,04/20/2022
2300838309,01/20/2021,0681,PPS,CF LALA LTD,801 Springdale Rd,Austin,TX,78702-4041,09/14/2021,Paid in Full,60,100,73500,73500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,Y,Y,Existing or more than 2 years old,Austin,TRAVIS,TX,78702-4041,TX-37,5,722410,Unanswered,Unknown/NotStated,1,73498,,,,,,Limited Liability Partnership,70134,Horizon Bank SSB,Austin,TX,Unanswered,Unanswered,,73902.21,08/06/2021
3029518303,01/21/2021,0681,PPS,SPRING BREAK '06 LLC,610 Nueces St,Austin,TX,78701-2812,09/14/2021,Paid in Full,60,100,73500,73500,0,,70134,Horizon Bank SSB,"600, W. 5th St.",Austin,TX,78701,U,N,N,Existing or more than 2 years old,Austin,TRAVIS,TX,78701-2812,TX-37,6,722410,Unanswered,Not Hispanic or Latino,1,73498,,,,,,Limited  Liability Company(LLC),70134,Horizon Bank SSB,Austin,TX,Male Owned,Non-Veteran,,73922.62,08/24/2021
7884517110,04/14/2020,0681,PPP,"DIRTYBILL ENTERPRISES, LLC",511 RIO GRANDE STREET,AUSTIN,TX,78701,05/29/2021,Paid in Full,24,100,73500,73500,0,,72188,American Bank of Commerce,530 E Hwy 62/82,WOLFFORTH,TX,79382-9382,U,N,N,Existing or more than 2 years old,AUSTIN,TRAVIS,TX,78701-0001,TX-37,12,722410,Unanswered,Unknown/NotStated,,73500,,,,,,Limited  Liability Company(LLC),72188,American Bank of Commerce,WOLFFORTH,TX,Unanswered,Unanswered,,74017.52,01/07/2021
