"name_common","assettype","assetnote","discipline","discipline_note","live_music","event_venue","coa_facili","web_notes","website","zip","councildistrict","date_updat","map_list","source","location_1"
"University of Texas  at Austin- College of Liberal Arts, James A Michener Center for Writers","Education","Education, Creative Learning, Professional Development","Literary Arts"," "," "," "," ","The MFA is a three-year, 54 semester-hour degree. Students are in residence and enrolled full-time, typically for three classes each in the fall and spring semesters.","https://michener.utexas.edu/","78705","9","2016","map","Srempe","702 East Dean Keeton Street
Austin, TX 
(30.289421, -97.732527)"
"Ballet Austin- AustinVentures Studio Theater","Theater","Auditorium","Dance"," Dance"," "," "," ","Ballet Austin has a core purpose to be classically innovative through excellence and faithful stewardship, creating, nurturing and sharing the joy of dance. The core values of Ballet Austin consist of dancing with innovation and creativity, dancing to pr","http://www.balletaustin.org","78701","9","2014","map","SIAP","501 W 3Rd St
Austin, TX 
(30.266569, -97.749597)"
"Contemporary Austin","Gallery/ Museum","Museum","Visual Arts"," "," "," "," ","The Contemporary Austin reflects the spectrum of contemporary art through exhibitions, commissions, education, and the collection","www.thecontemporaryaustin.org","78701","9","2016","map","SIAP","700 Congress Ave
Austin, TX 
(30.26908, -97.742764)"
"Triangle Park","Public Park","Public Park","Other"," "," "," "," ","Triangle Park, or The Triangle, is a large open air park located in the city of Austin by the University of Texas at Austin.  It is home to the Austin Farmer's Market and host many events throughout the year."," ","78751","9","2016","map","NPA_ven","4600 Guadalupe
Austin, TX 
(30.313299, -97.732584)"
"Austin Multimedia Group","Business","Video Production","Film/TV/Media"," A/V"," "," "," "," "," ","78703","9","2014","map","SIAP","605 Baylor St
Austin, TX 
(30.271917, -97.754645)"
"Symbol Bowl by Damian Priour","Public Art","Art in Public Places Donation","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","201-299 E Willie Nelson Blvd
Austin, TX 
(30.263552, -97.742435)"
"Untitled (Chris Kern Memorial) by Paul Siebenaler","Public Art","Art in Public Places Donation","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","Ann and Roy Butler Hike and Bike Trail
Austin, TX 
(30.260117, -97.741361)"
"Alleywood Studios","Business","Service & Support Business","Theater Arts"," "," "," "," ","This central and eclectic area boasts many of Austin's most popular gathering places for dining, music and entertainment. Projects abound at Alleywood.","http://www.ckmcfarland.com/alleywood.htm","78764","9","2016","map","NPA_org","1902 South Congress
Austin, TX 
(30.244994, -97.75182)"
"Bounce [Replacement] by Virginia Fleck","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","201-299 E Willie Nelson Blvd
Austin, TX 
(30.263552, -97.742435)"
"Monkeywrench Books","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78751","9","2014","map","SIAP","110 E North Loop Blvd
Austin, TX 
(30.318, -97.721631)"
"Attal M George Arts","Business","Service & Support Business","Visual Arts"," "," "," "," "," "," ","78731","10","2014","map","SIAP","5804 Lookout Mountain Dr
Austin, TX 
(30.342536, -97.77966)"
"Red 11 Music","Business","Supplier, Retail","Music"," Music"," "," "," "," "," ","78703","9","2014","map","SIAP","1612 W 5Th St
Austin, TX 
(30.27408, -97.763331)"
"St. Mary's Cathedral","House of Worship","House of Worship","Other"," "," "," "," ","Saint Mary Cathedral is the hub of the Catholic Community in Austin.","http://www.saintmaryscathedral.org/","78701","9","2016","map","NPA_ven","203 East 10Th Street
Austin, TX 
(30.271154, -97.740132)"
"Mod Studio","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78705","9","2014","map","SIAP","1201 W 24Th St
Austin, TX 
(30.288091, -97.750487)"
"J D Reid Co","Business","Supplier, Retail","Textile/Apparel"," Textile/Apparel"," "," "," "," "," ","78731","10","2014","map","SIAP","2813 Hancock Dr
Austin, TX 
(30.327691, -97.749907)"
"Brazos Street Sound Project #2 by Sodalitas (Jana Swec, Shea Little, and Joseph Phillips)","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","208 Brazos St
Austin, TX 
(30.26424, -97.74303)"
"West Texas Beach Ball by Hank Waddell","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","331-357 W Willie Nelson Blvd
Austin, TX 
(30.264896, -97.747196)"
"India Community Center Of Austin","Recreation/Community Center","Recreation/ Community Center","Other"," Ethnic Heritage Group"," "," "," ","Hub for Indian American community, iFest","http://www.iccaustin.org","78731","10","2014","map","SIAP","3432 Greystone Dr
Austin, TX 
(30.357297, -97.747228)"
"Austin Civic Wind Ensemble, Texas Community Music Festival","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","annual festival","http://tcmfestival.com","78756","9","2014","map","SIAP","4001 North Lamar
Austin, TX 
(30.305495, -97.742794)"
"Norwood Park Foundation","Organization","Support, ""Friends of"" Organizations,  Booster Clubs","Other"," "," "," "," ","Restoration of historic house & park","http://www.norwoodparkfoundation.org","78704","9","2014","map","SIAP","1002 Edgecliff Terr
Austin, TX 
(30.250713, -97.738448)"
"Austin Chinese Choir","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","Austin Chinese Choir, Inc. is a Texas state registered non-profit, non-political, and non-religious organization. The corporation is organized exclusively for the purposes of education and culture exchange","http://austinchinesechoir.org/choir/","78720","10","2014","map","SIAP","15809 Hamden Circle
Austin, TX 
(30.401849, -97.754127)"
"Capitol Reporter Inc","Business","Commercial Printing","Graphic Design, Printmaking"," Printing"," "," "," "," "," ","78701","9","2014","map","SIAP","825 W 11Th St
Austin, TX 
(30.274807, -97.749401)"
"Stella Alesi Photography","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78704","9","2014","map","SIAP","1712 Bouldin Ave
Austin, TX 
(30.24981, -97.759505)"
"Burnside's Tavern","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","Treasure Island is Austin's legendary nightlife destination with great music, location, and atmosphere.  Order their famous Tropical Fish bowl and dance the night away in paradise.","http://spillonsixth.com/treasure/home/","78701","9","2018","map","Brownk","413 East 6Th Street
Austin, TX 
(30.266764, -97.739271)"
"Blue Moon Bar and Grill","Restaurant","Restaurant","Culinary Arts"," "," "," "," ","ZadeCo, Blues, Latin Music","bluemoonbarngrill.weebly.com","78704","9","2016","map","D3 Meeting","2200 IH 35 Frontage Rd
Austin, TX 
(30.235436, -97.741311)"
"Texas Asian Chamber of Commerce","Organization","Chambers of Commerce, Business Leagues","Other"," "," "," "," ","Since the founding over 10 years ago, the Texas Asian Chamber of Commerce has been consistently keeping an eye for service, while advocating for equal access and opportunity for the Asian community.  They also put on festivals and community events throug","http://www.txasianchamber.org","78701","9","2016","map","NPA_org","201 East Second Street
Austin, TX 
(30.263678, -97.74293)"
"Pedestrian Geometries #2 by Erin Curtis","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","155-199 W 3rd St
Austin, TX 
(30.26544, -97.744665)"
"Long Center for the Performing Arts- Kodosky Lounge","Theater","Cabaret","Theater Arts"," "," "," "," ","The Kodosky Donor's Lounge is an enclosed lounge on the Mezzanine Level of the Long Center with floor to ceiling windows wrapping around the East & North side of the building."," ","78704","9","2016","map","NPA_ven","701 W Riverside Dr
Austin, TX 
(30.260816, -97.750296)"
"Mansion at Judge's Hill","Landmark","Landmark","Other"," "," "," "," ","The Mansion at Judge's Hill is home to the new 1900 Bar, a setting that would rival the impeccable sets from a Merchant-Ivory film.  Dine in the breezy veranda, in the elegant dining room, or cozy lounge.","http://www.mansionatjudgeshill.com","78705","9","2016","map","NPA_ven","1900 Rio Grande Street
Austin, TX 
(30.282724, -97.745489)"
"Hidden Room","Theater","Black Box/ Flex Space","Theater Arts"," Theater"," "," "," ","theatrical curiosity shop","http://www.hiddenroomtheatre.com/discourse/","78701","9","2016","map","SIAP","311 W 7Th St
Austin, TX 
(30.269433, -97.745083)"
"Quik Print Of Austin Inc","Business","Commercial Printing","Graphic Design, Printmaking"," Printing"," "," "," "," "," ","78759","10","2014","map","SIAP","12636 Research Blvd
Austin, TX 
(30.431021, -97.764542)"
"Faulk Central Library, Austin Public Library","Library","Library","Literary Arts"," "," "," ","COA"," ","http://library.austintexas.gov/","78701","9","2014","map","SIAP","800 Guadalupe St
Austin, TX 
(30.270986, -97.745885)"
"LAB (tunnels) by NextProject: Leah Davis, Robert Gay, Jack Sanders","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78703","9","2016","map","AIPP","Lance Armstrong Bikeway
Austin, TX 
(30.268877, -97.759399)"
"Guadalupe Studios","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78722","9","2014","map","SIAP","4603 N Interstate 35
Austin, TX 
(30.304209, -97.713268)"
"Hartman Park","Public Park","Public Park","Other"," "," "," "," ","Hartman Park is located next to the Long Center. Perfect for outdoor events."," ","78701","9","2016","map","NPA_ven","701 W Riverside Dr
Austin, TX 
(30.271136, -97.749927)"
"D Berman Gallery","Gallery/ Museum","Gallery","Visual Arts"," "," "," "," ","D. Berman Gallery specializing in contemporary American painting, sculpture, and photography, is located in the 1930 Chapline Building. D. Berman Gallery is a contemporary urban exhibition space that preserves the Commercial Deco feel of the historic bui","www.dbermangallery.com","78701","9","2016","map","NPA_org","1701 Guadalupe Street
Austin, TX 
(30.279688, -97.741974)"
"West Wood Country Club","Event Venue","Event Venue","Music"," "," ","Event Venue"," ","Westwood Country Club is a premier family-oriented athletic club that provides a variety of quality services and activities for the recreation and dining needs of members.","http://www.westwoodcountryclub.com/","78703","10","2016","map","TMO_16","3808 West 35th St.
Austin, TX 
(30.313598, -97.773413)"
"Highland Park Baptist Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","Highland Park is both Baptist and progressive. We are seeking to interpret Jesus' teachings of grace and love for the distinct challenges"," ","78731","10","2016","map","NPA_ven","5206 Balcones Drive
Austin, TX 
(30.334103, -97.759995)"
"Stinson's Bistro","Restaurant","Restaurant","Music","Blues, Country, Rock","Live Music"," "," ","Stinson’s is a concept as old as time. A community stopping point, a gathering place, an old world cafe in the tradition of Gijon, Closerie des Lilas and Deux Magots, brought forward and remade for our times. We serve you morning noon and night as did","http://www.stinsonsbistro.com/","0","10","2016","map","TMO_16","2401 Lake Austin Blvd.
Austin, TX 
(30.277884, -97.772991)"
"Stubb's Bar-B-Que","Bar/Club/Venue","Bar/Club/Venue","Music"," Music","Live Music"," "," ","In the 1970's, Stubb's restaurant became the heart of an explosive music scene. Stubbs was ground zero for musicians like Joe Ely and Stevie Ray Vaughn. Other famous musicians who would ""play for their supper"" included Muddy Waters, John Lee Ho","http://www.stubbsaustin.com/music_home.html","78701","9","2014","map","SIAP","801 Red River Rd
Austin, TX 
(30.268275, -97.736175)"
"Lucky Lounge","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","One of Austin's most popular neighborhood Bars, the Lucky Lounge features 60's modern furnishings, a unique raised back bar, friendly and attentive staff, refreshing cocktails, daily music specials, and an eclectic crowd of people from a wide range of ba","http://www.theluckylounge.com","78701","9","2016","map","NPA_ven","209 A West 5Th Street
Austin, TX 
(30.267445, -97.745332)"
"Intel Building Shell","Event Venue","Event Venue","Multidisciplinary"," "," ","Event Venue"," ","The Intel Shell is a building that was started and not completed. It's just a shell. The audience sits in chairs arranged in the yard of the building, outdoors, on the northeast side of the site.
CLOSED"," ","78701","9","2016","map","NPA_ven","400 West San Antonio Street
Austin, TX 
(30.267597, -97.748354)"
"Larry Monroe Forever Bridge","Public Art","Public Art-Community Initiated","Visual Arts"," "," "," "," "," "," ","78704","9","2016","map","D1 Meeting","1506 East Side Dr
Austin, TX 
(30.247404, -97.744475)"
"Impact Productions","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78704","9","2014","map","SIAP","1415 Newning Ave
Austin, TX 
(30.248266, -97.745165)"
"Austin Community College Creative Writing Department","Organization","Education, Creative Learning, Professional Development","Graphic Design, Printmaking"," School"," "," "," ","The Creative Writing Department at ACC helps students of all backgrounds and ages discover the power and enjoyment of writing creatively. Our beginning courses introduce writers to the knowledge and literary tools needed for writing poetry, fiction, crea","http://www.austincc.edu/crw","78701","9","2016","map","NPA_org","1212 Rio Grande
Austin, TX 
(30.276524, -97.747417)"
"Sagrada Familia Studios","Business","Service & Support Business","Theater Arts"," "," "," "," "," "," ","78701","9","2014","map","SIAP","1304 Guadalupe St
Austin, TX 
(30.276164, -97.743984)"
"AGE Building","Event Venue","Event Venue","Multidisciplinary"," "," ","Event Venue"," ","The Historic AGE Building at 38th and Cedar Street was built in 1907 by the United Daughters of the Confederacy as the “Confederate Woman's Home.” Now an Austin designated landmark and local treasure, the building was purchased in 1986 and ha","http://www.ageofaustin.org","78705","9","2016","map","NPA_ven","3710 Cedar
Austin, TX 
(30.300818, -97.735213)"
"Russell Collection Fine Art Gallery","Gallery/ Museum","Gallery","Visual Arts"," "," "," "," ","The Russell Collection is a World Class gallery filled with museum quality art. They set out to offer something different to the serious art collector in central Texas. 

The current collection includes the works of Rembrandt, Mary Cassatt, Marc Chagall,","http://www.russell-collection.com","78703","9","2014","map","SIAP","1137 W 6Th St
Austin, TX 
(30.272404, -97.756957)"
"Performance Encounters","Organization","Theater Company","Theater Arts"," "," "," "," ","Performance Encounters is a multi-disciplinary performance company committed to creative initiative, spiritual growth and social action. Their projects deal with questions of culture, history, identity and environment. They combine storytelling, dance, t","http://www.performanceencounters.org","78703","9","2016","map","NPA_org","1610 West 9Th Street
Austin, TX 
(30.278012, -97.761723)"
"University of Texas Tower","Landmark","Landmark","Other"," "," "," "," ","The University of Texas Tower is a famous Texas landmark, which features a spectacular view of Austin.","http://www.utexas.edu/student/txunion/ae/towertours/","78712","9","2016","map","NPA_ven","2247 Guadalupe Street
Austin, TX 
(30.285695, -97.741661)"
"Debutantes & Vagabonds","Organization","Theater Company","Theater Arts"," "," "," "," ","Debutantes & Vagabonds explore and build connections within society at large. We seek to bridge the divide between art, our audience, and Austin's own business and creative communities. We hope to reinvigorate theatre by incorporating performance element"," ","78751","9","2016","map","NPA_org","4625 Depew Ave
Austin, TX 
(30.306046, -97.717294)"
"Goodknight Music","Business","Service & Support Business","Music"," Music"," "," "," "," "," ","78703","9","2014","map","SIAP","1306 Lorrain St
Austin, TX 
(30.280014, -97.75592)"
"Seeding Time by Nobuho Nagasawa","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","331-357 W Willie Nelson Blvd
Austin, TX 
(30.264896, -97.747196)"
"Texas Carpenters & Millwrights Training Trust Fund","Education","Education, Creative Learning, Professional Development","Craft/Design"," Architecture/Design"," "," "," ","Ed/training--apprenticeship, journeymen","http://www.ubctexastraining.com/?cat=4","78741","9","2014","map","SIAP","1825 S Ih 35
Austin, TX 
(30.239354, -97.736563)"
"C Munson Studio & Gallery","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78731","10","2014","map","SIAP","3319 Hancock Dr
Austin, TX 
(30.332149, -97.759148)"
"Güero's Taco Bar","Bar/Club/Venue","Bar/Club/Venue","Music","Blues, Rock","Live Music"," "," ","There's always something fun happening at Güero´s! Come on and enjoy some live music!!! Join us on our outside jardin stage. All outdoor shows are ""weather permitting.""","http://www.guerostacobar.com","78704","9","2016","map","NPA_ven","1412 South Congress Avenue
Austin, TX 
(30.24916, -97.750268)"
"Testify","Event/ Festival","Event/ Festival","Theater Arts"," "," "," "," ","Testify is a monthly show featuring performers telling personal stories live on stage. Each month has a different theme that ties together stories that span the human experience. Performances take place the last Thursday or Friday of every month at the S","http://testifyatx.comq","78705","9","2016","map","NPA_org","2906 Fruth St
Austin, TX 
(30.295229, -97.742049)"
"Tree on Barton Creek by Jimmy Jalapeeno","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","201-299 E Willie Nelson Blvd
Austin, TX 
(30.263552, -97.742435)"
"El Mercado Restaurant","Restaurant","Restaurant","Music","Country, Rock","Live Music"," "," ","El Mercado provides a its customers with live music in addition to the regular services of their restaurant.","http://www.elmercadorestaurant.com/El_Mercado_Restaurants/Venue_and_Music.html","78704","9","2016","map","TMO_16","1302 South First Street
Austin, TX 
(30.251308, -97.754563)"
"Chez Boom Audio","Business","Recording Studio","Music"," "," "," "," "," "," ","78701","9","2016","map","Srempe","306 W 16th Street
Austin, TX 
(30.278985, -97.742127)"
"University of Texas at Austin- College of Fine Arts, Department of Art and Art History","Education","Education, Creative Learning, Professional Development","Visual Arts","Visual Arts"," "," "," "," "," ","78712","9","2014","map","SIAP","2301 Trinity S
Austin, TX 
(30.288782, -97.740659)"
"Texas Book Festival","Event/ Festival","Event/ Festival","Literary Arts"," Literature"," "," "," "," "," ","78701","9","2014","map","SIAP","610 Brazos St
Austin, TX 
(30.267883, -97.741714)"
"R Foster Design Group","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78730","10","2018","map","Brownk","9400 Leaning Rock Cir
Austin, TX 
(30.383003, -97.828743)"
"Pangaea Inc","Business","Book Publishers","Literary Arts"," Literature"," "," "," "," "," ","78703","9","2014","map","SIAP","510 Baylor St
Austin, TX 
(30.271284, -97.756167)"
"Austin Hispanic Chamber Of Commerce Foundation Aka Greater Austin Hispanic Chamber Of Commerce","Organization","Chambers of Commerce, Business Leagues","Other"," Ethnic Heritage Group"," "," "," ","Hispanic business","www.gahcc.org","78731","10","2014","map","SIAP","3601 Far West Blvd
Austin, TX 
(30.354194, -97.755263)"
"FORGE CRAFT Architecture + Design","Business","Architects","Architecture"," "," "," "," "," ","forgecraftarchitecture.com","78704","9","2016","map","WEST_16","608 W Monroe
Austin, TX 
(30.249808, -97.755845)"
"Performa/Dance","Organization","Dance Company","Dance"," "," "," "," ","Performa/Dance, cofounded in 2014 by Jennifer Hart and Edward Carr, is a project-based company in Austin, Texas. It's mission is to nurture and support new, creative voices in contemporary dance, thereby enriching the local arts community and introducing","http://performadance.squarespace.com/","78701","9","2016","map","NPA_org","501 W 3Rd Street
Austin, TX 
(30.266569, -97.749597)"
"Ohfour Records","Business","Recording Studio","Multidisciplinary"," A/V"," "," "," "," "," ","78704","9","2014","map","SIAP","1706 Alameda Dr
Austin, TX 
(30.24445, -97.744316)"
"Austin Photographer","Business","Photographer/ Photo Studio","Photography"," Photo"," "," "," "," "," ","78730","10","2014","map","SIAP","8601 Ranch Road 2222
Austin, TX 
(30.382272, -97.816219)"
"David Group","Business","Advertising, Marketing","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78730","10","2014","map","SIAP","6101 W Courtyard Dr
Austin, TX 
(30.355016, -97.797405)"
"University of Texas at Austin, Texas Performing Arts- Oscar Brockett Theatre & Laboratory Theatre","Theater","Black Box/ Flex Space","Theater Arts"," Theater"," "," "," ","UT's recently named Oscar G. Brockett Theatre is an intimate setting of 200 seats. Utilized most frequently for student productions of the Department of Theatre & Dance, this theatre helps develop budding new talent into experienced performers as part of","http://www.finearts.utexas.edu/tad/index.cfm","78712","9","2014","map","SIAP","300 E 23Rd Street East
Austin, TX 
(30.285605, -97.733977)"
"Casis Elementary School","Education","Education, Creative Learning, Professional Development","Multidisciplinary"," "," "," "," ","Public Education"," ","78703","10","2016","map","Wikimap","2710 Exposition Boulevard
Austin, TX 
(30.30454, -97.765875)"
"St. Ignatius Catholic Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","As a Catholic faith community we strive to provide the structure, opportunities and activities so that each of us can grow to become true Disciples of Christ. To help us on this journey of growth in faith and","http://www.st-ignatius.org","78704","9","2016","map","NPA_org","126 W Oltorf St
Austin, TX 
(30.240211, -97.75452)"
"Harry Ransom Center, University Of Texas At Austin","Gallery/ Museum","Museum","Other"," Museum"," "," "," ","Considered one of the world's finest cultural archives, the Harry Ransom Center houses 30 million literary manuscripts, 1 million rare books, 5 million photographs, and over 100,000 visual artworks.  Highlights include the Gutenberg Bible and the world's","www.hrc.utexas.edu","78712","9","2016","map","SIAP","300 W 21St St
Austin, TX 
(30.283461, -97.735924)"
"Texas Early Music Project","Organization","Historical Societies & Historic Preservation","Music"," Music"," "," "," ","Founded in 1987 by Daniel Johnson, the Texas Early Music Project is dedicated to preserving and advancing the art of Medieval, Renaissance, Baroque, and early Classical music through performance, recordings, and educational outreach.","http://www.early-music.org/","78705","9","2014","map","SIAP","2905 San Gabriel St
Austin, TX 
(30.297696, -97.747439)"
"Blue Flame Studios","Business","Video Production","Film/TV/Media"," A/V"," "," "," "," "," ","78701","9","2014","map","SIAP","807 Brazos St
Austin, TX 
(30.269529, -97.740448)"
"Vulcan Gas Company","Bar/Club/Venue","Bar/Club/Venue","Music"," "," "," "," ","Vulcan Gas Company is a beautiful state-of-the art music venue designed to host today's most cutting edge music experiences as well as to offer the best setting for a variety private and corporate event functions.
","http://www.vulcanatx.com","78701","9","2016","map","NPA_org","418 E 6Th
Austin, TX 
(30.267272, -97.739023)"
"Summer Stock Austin","Organization","Band, Musical Group, Ensemble","Music"," Music"," "," "," ","Our participants have the opportunity to work side-by- side with university faculty as well as theatre professionals from Austin and around the country. Our high school students get a taste of theatre at the college level, and our college students gain e","http://summerstockaustin.org","78704","9","2014","map","SIAP","701 W Riverside Dr
Austin, TX 
(30.260854, -97.75023)"
"Heroes of Comedy","Organization","Comedy/ Improv Troupe","Comedy"," "," "," "," ","The Heroes of Comedy are the resident improv comedy troupe at the Hideout Theatre in downtown Austin.  They produce shows every Saturday and teach classes year-round.  Heroes of Comedy are members of the International Theatre sports League.  The Heroes o","http://www.heroescomedy.com","78701","9","2016","map","NPA_org","617 Congress Avenue
Austin, TX 
(30.268146, -97.74245)"
"12th Street Books","Business","Bookstore, Book Dealers","Literary Arts"," Literature"," "," "," "," "," ","78701","9","2014","map","SIAP","827 W 12Th St
Austin, TX 
(30.275862, -97.748952)"
"Owen Video Svc","Business","Video Production","Film/TV/Media"," A/V"," "," "," "," "," ","78701","9","2014","map","SIAP","801 West Ave
Austin, TX 
(30.272042, -97.749602)"
"James A. Michener Center for Writers","Organization","Education, Creative Learning, Professional Development","Film/TV/Media"," Media"," "," "," ","The MFA in Writing is a three-year, full-time residency program, unique in its interdisciplinary focus. While writers apply and are admitted in a primary field of concentration—chosen from fiction, poetry, playwriting or screenwriting—they ha"," ","78705","9","2016","map","NPA_org","702 East Dean Keeton Street
Austin, TX 
(30.289552, -97.732764)"
"Velveeta Room","Theater","Black Box/ Flex Space","Theater Arts"," "," "," "," ","Started in the ruins of a strip club at the height of the StandUp boom of the 80's, The Velveeta Room has lasted for 2 decades in the volatile environment of 6th street in Austin, TX. 2 shows Friday and 2 shows Saturday highlight some of the best comedy"," ","78701","9","2016","map","NPA_org","521 E Sixth St
Austin, TX 
(30.266454, -97.738114)"
"State Theatre School of Acting","Education","Education, Creative Learning, Professional Development","Theater Arts"," "," "," "," ","Acting School","http://www.austintheatre.org (click on State School of Acting)","78701","9","2016","map","NPA_org","719 Congress Ave
Austin, TX 
(30.269071, -97.742099)"
"Barracuda","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","Red 7 is an all-ages Rock venue that is complete with two stages (one indoor and one outdoor) and full bar.","http://www.myspace.com/redsevenaustin","78701","9","2018","map","Brownk","611 East 7Th Street
Austin, TX 
(30.267107, -97.736787)"
"University of Texas at Austin, Texas Performing Arts- B. Iden Payne Theatre","Theater","Auditorium","Theater Arts"," "," "," "," ","UT's 500 seat B. Iden Payne Theatre provides the perfect setting for plays and dance performances, allowing audiences a close-up look at the action on stage. This facility not only stages productions by internationally celebrated theatre companies and da","http://www.finearts.utexas.edu/tad/index.cfm","78705","9","2016","map","NPA_ven","300 East 23Rd Street
Austin, TX 
(30.285422, -97.734)"
"Northwest Hills United Methodist Church","House of Worship","House of Worship","Other"," House of Worship"," "," "," ","The Northwest Hills United Methodist Church hosts a variety of community events including handbell concerts."," ","78731","10","2014","map","SIAP","7050 Village Center Drive
Austin, TX 
(30.353284, -97.756132)"
"Opal Divine's Austin Grill - Freehouse","Bar/Club/Venue","Bar/Club/Venue","Music"," ","Live Music"," "," ","Opal Divine was my grand-mother's name. She was a woman who enjoyed good music, good friends, good drink and a good card game. In honor of her we bring to you Opal Divine's Austin Grill. Please enjoy this establishment with the same spirit for which she","http://www.opaldivines.com","78704","9","2016","map","NPA_ven","700 West 6Th Street
Austin, TX 
(30.270297, -97.749676)"
"Crystalline #1 by Dharmesh Patel & Autumn Ewalt","Public Art","Art in Public Places Commission","Visual Arts"," "," "," ","COA","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","78701","9","2016","map","AIPP","407 Colorado St
Austin, TX 
(30.26688, -97.744501)"
"Austin Intellectual Property Law Association","Organization","Chambers of Commerce, Business Leagues","Other"," "," "," "," ","Prof org, attorneys","http://www.austin-ipla.org","78703","10","2014","map","SIAP","3808 W 35Th St
Austin, TX 
(30.313338, -97.771932)"
"Antone's Record Store","Business","Record Store","Music"," "," "," "," "," "," ","78705","9","2016","map","Srempe","2928 Guadalupe St
Austin, TX 
(30.296358, -97.742558)"
"Studio Eye Beam","Business","Graphic Design Services","Graphic Design, Printmaking"," Adv/GD"," "," "," "," "," ","78704","9","2014","map","SIAP","1202 Newning Ave
Austin, TX 
(30.251499, -97.744156)"
"Magnolia Pictures Co","Business","Video Production","Film/TV/Media"," Film/TV"," "," "," "," "," ","78703","9","2014","map","SIAP","1614 W 5Th St
Austin, TX 
(30.274102, -97.76336)"
"Dart Music International","Organization","Arts Advocacy & Support Orgs","Music"," "," "," "," ","Dart Music International (DMI) is a 501(c)(3) nonprofit organization that works to increase cross-cultural musical interchange while assisting international artists in capitalizing on their investment of traveling to Texas. Austin has become an important","http://dartmusicinternational.org","78704","9","2016","map","NPA_org","2215 Post Road
Austin, TX 
(30.241055, -97.751395)"
