"asset_name","asset_type","asset_notes","live_music","event_venu","discipline","web_notes","website","council_district","coa_facility","mapkey","date_updat","map_list","source","location_1"
"¡ Mira ! by Will Larson","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","3","COA","3399","2016","xy","AIPP","31-39 Robert Martinez Jr St
Austin, TX 78702
(30.249944, -97.723376)"
"12th Street Books","Business","Bookstore, Book Dealers"," "," ","Literary Arts"," "," ","9"," ","9100","2014","xy","SIAP","827 W 12Th St
Austin, TX 78701
(30.275862, -97.748952)"
"12th Street Sound","Business","Recording Studio"," "," ","Music"," "," ","1"," ","1284","2016","xy","Srempe","2205 E 12th St
Austin, TX 78702
(30.274004, -97.716424)"
"1st Baptist Church","House of Worship","House of Worship"," "," ","Other"," Part of 1st Baptist downtown","http://www.fbcaustin.org/","9"," ","9027","2016","addrs","D3 Meeting","901 Trinity St
Austin, TX 78701
(30.270222, -97.737585)"
"1st Unitarian Universalist Church of Austin","House of Worship","House of Worship"," "," ","Other","1st Unitarian Universalist Church of Austin has a flexible space that can be used by many different art forms. Paradox Players is based out of this performance space.","http://austinuu.org/wp2011/visitors/room-reservations/","9"," ","9632","2016","xy","NPA_ven","4700 Grover Avenue
Austin, TX 78757
(30.317626, -97.738381)"
"23rd Street Artists' Market, City of Austin, Parks & Recreation","Event/ Festival","Event/ Festival"," "," ","Multidisciplinary","The 23rd Street Artists' Market is a hand crafted artists' market meaning that everything that is sold is make by the artists themselves.","http://www.austinartistsmarket.com","9","COA","9530","2014","xy","SIAP","401 W. 23rd Street
Austin, TX 78712
(30.286491, -97.741936)"
"26-Music Fine Arts Center","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","0"," ","354","2014","xy","SIAP","4300 N Quinlan Park Rd
Austin, TX 78732
(30.377488, -97.88454)"
"289 West","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Open Monday through Saturday. Friday and Saturday open until 2 am. Features mainly rock; country music. Very large and friendly open mic.","http://www.the290westclub.com/","0"," ","406","2016","xy","TMO_16","12013 US Highway 290 West
Austin, TX 78737
(30.210637, -97.969371)"
"3 Day Startup","Organization","Education, Creative Learning, Professional Development"," "," ","Technology","Entrepreneurial capabilities/cultures, w/graphic design etc/creatives","http://austin.3daystartup.org","7"," ","7278","2014","xy","SIAP","3925 W Braker Ln
Austin, TX 78759
(30.397749, -97.737629)"
"311 Club","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","The 311 presents live R&B, rock, and blues music."," ","9"," ","9030","2016","xy","TMO_16","311 East Sixth Street
Austin, TX 78701
(30.267001, -97.740078)"
"4th Tap Brewing","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","Poetry Slams
Wrestling
Rotating Art Exhibition","www.4thtap.coop","4"," ","4150","2016","xy","Wikimap","10615 Metric Blvd
Austin, TX 78758
(30.385139, -97.71193)"
"512 Studios","Business","Recording Studio"," "," ","Music"," "," ","5"," ","5211","2016","xy","Srempe","2228 S Lamar Blvd
Austin, TX 78704
(30.247826, -97.773243)"
"54 Seconds","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","3"," ","3164","2014","xy","SIAP","501 Pedernales St
Austin, TX 78702
(30.258066, -97.714718)"
"-56”-    (Fifty-six Inches) by Sandra Fiedorek, David Heymann","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","10","COA","10243","2016","xy","AIPP","2704 Bowman Ave
Austin, TX 78703
(30.298241, -97.767602)"
"5th Street Studios","Business","Recording Studio"," "," ","Music"," "," ","9"," ","9658","2016","xy","Srempe","407 Baylor St
Austin, TX 78703
(30.270129, -97.755938)"
"7 Stones","Organization","Band, Musical Group, Ensemble"," "," ","Music"," "," ","9"," ","9492","2014","xy","SIAP","403 W 37Th St
Austin, TX 78705
(30.300822, -97.73685)"
"7 to 10 Theater","Organization","Theater Company"," "," ","Theater Arts","The 7 to 10 Theater is committed to creating works of theater, which reveal a transformation and illustration of people's common condition in the most compelling manner they can."," ","0"," ","12","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"7 Towers Theatre Company","Organization","Theater Company"," "," ","Theater Arts","7 Towers began in 2010 as a collaboration between an actor and a dramaturg, both interested in the basic relationship between story, performer, and audience. Placing a particular emphasis on honest communication, we value fundamental methods of storytell","http://www.facebook.com/7Towers","0"," ","13","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"A & A In Da Mix Entertainment","Business","Service & Support Business"," "," ","Music"," "," ","1"," ","1191","2014","xy","SIAP","7223 Northeast Dr
Austin, TX 78723
(30.322779, -97.679959)"
"A Cappella Texas","Organization","Band, Musical Group, Ensemble"," "," ","Music","ACappella Texas are a group of men of all ages who enjoy singing and performing together in a cappella four-part harmony.  They perform what is known as ""Barbershop Harmony,"" which is one of the four truly unique American-born styles of music a","http://www.chordrangers.org","0"," ","262","2016","list","NPA_org","
Austin, TX 78718
(0.0, 0.0)"
"A Chick & A Dude Productions","Organization","Theater Company"," "," ","Theater Arts","About A Chick & A Dude Productions Founded in 2001, A Chick & A Dude productions, a sponsored project of The Austin Circle of Theatres non-profit organization, is an Austin, Texas-based theatre company aiming to ""Keep Austin Weird by Keeping Austin","http://www.myspace.com/chickanddude","10"," ","10088","2016","xy","NPA_org","3560 Rr 2222
Austin, TX 78731
(30.340056, -97.759474)"
"A Day in the Park by Holli Brown, Pascal Simon","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9682","2016","xy","AIPP","4400 Avenue G
Austin, TX 78751
(30.307424, -97.727335)"
"A Dream by Courtney Enriquez","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","2","COA","2081","2016","xy","AIPP","5801 Ainez Dr
Austin, TX 78744
(30.187861, -97.739403)"
"A Girl Creative Design Studio","Business","Service & Support Business"," "," ","Technology"," "," ","8"," ","8123","2014","xy","SIAP","6011 Cannon Mountain Dr
Austin, TX 78749
(30.222222, -97.867681)"
"A Ha Design","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","0"," ","157","2014","list","SIAP","
Austin, TX 78703
(0.0, 0.0)"
"A Mano Hecho Productions","Business","Video Production"," "," ","Film/TV/Media"," "," ","5"," ","5134","2014","xy","SIAP","2507 Cockburn Dr
Austin, TX 78745
(30.21038, -97.810369)"
"A Plus Screen Printing","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7104","2014","xy","SIAP","2116 White Horse Trl
Austin, TX 78757
(30.338943, -97.740878)"
"A R Music","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","0"," ","550","2014","list","SIAP","
Austin, TX 78759
(0.0, 0.0)"
"A River Runs Thru Us by Freddie McCoo","Public Art","Art in Public Places Commission"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","1","COA","1296","2016","xy","AIPP","1400-1498 Rosewood Ave
Austin, TX 78702
(30.269565, -97.724044)"
"A Room With a Few","Organization","Band, Musical Group, Ensemble"," "," ","Music","Experience chamber music the way it was meant to be enjoyed: in a private residential setting in an intimate audience of fellow music lovers. Drink a glass of wine as you look over Town Lake the downtown and mingle with the artists.
","http://aroomwithafew.yapsody.com","0"," ","14","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"A Spacious Place Incorporated","Education","Education, Creative Learning, Professional Development"," "," ","Visual Arts","Spirituality & Creativity","http://www.aspaciousplace.com","8"," ","8157","2014","xy","SIAP","7105 Gentle Oak Dr
Austin, TX 78749
(30.228547, -97.867467)"
"A V Guys","Business","Service & Support Business"," "," ","Music"," "," ","0"," ","137","2014","list","SIAP","
Austin, TX 78701
(0.0, 0.0)"
"A. Mozart Fest","Event/ Festival","Event/ Festival"," "," ","Music","A. Mozart Fest was founded in 1991 by Mary Robbins to commemorate the Mozart Bicentennial year.  The organization strives to bring the music of Mozart and of later composers he inspired to the community through quality performances that include introduct","http://www.amozartfest.org","7"," ","7074","2014","xy","SIAP","2304 Hancock Dr
Austin, TX 78756
(30.324415, -97.742496)"
"A1 Digital Printing & Signs","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3238","2014","xy","SIAP","2800 S Interstate 35
Austin, TX 78704
(30.224488, -97.747106)"
"Aardvark Forge","Creative Workspace","Individual Studio, Workshop"," "," ","Visual Arts"," ","aardvarkforge.com","9"," ","9351","2016","xy","WEST_16","2000 S 7th St
Austin, TX 78704
(30.248033, -97.765285)"
"Aaron Brothers Art & Framing","Business","Service & Support Business"," "," ","Visual Arts"," "," ","7"," ","7254","2014","xy","SIAP","9503 Research Blvd
Austin, TX 78759
(30.387809, -97.742953)"
"Abbey Printing-Austin Stamp","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","5"," ","5035","2014","xy","SIAP","1310 S Lamar Blvd
Austin, TX 78704
(30.254814, -97.762591)"
"Abby Productions","Organization","Theater Company"," "," ","Theater Arts","Theatrical production.","AbbyProductions.com","10"," ","10200","2016","xy","NPA_org","4711 Spicewood Springs Rd
Austin, TX 78759
(30.375347, -97.76216)"
"Abc Graphics","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4097","2014","xy","SIAP","8222 N Lamar Blvd
Austin, TX 78753
(30.351338, -97.708898)"
"Abell Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","382","2014","xy","SIAP","2614 Ravello Ridge Dr
Austin, TX 78735
(30.285888, -97.862901)"
"Abercrombie Gems-Precious Mtls","Business","Supplier, Retail"," "," ","Textile/Apparel"," "," ","0"," ","462","2014","xy","SIAP","3008 Bee Caves Rd
Austin, TX 78746
(30.272663, -97.797368)"
"ABGB","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music"," ","theabgb.com","3"," ","3222","2016","addrs","D5 Meeting","1305 W Oltorf St
Austin, TX 78704
(30.24518, -97.769127)"
"Abi Justice Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","253","2014","list","SIAP","
Austin, TX 78717
(0.0, 0.0)"
"Abrakadoodle Inc","Education","Education, Creative Learning, Professional Development"," "," ","Visual Arts","Abrakadoodle provides remarkable art classes, art camps and art parties and special events for children ages twenty months to twelve years old at schools, community centers and other convenient locations. The Abrakadoodle mobile art education program is","www.abrakadoodle.com/tx03","0"," ","540","2014","list","SIAP","
Austin, TX 78757
(0.0, 0.0)"
"Absolute Communications","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","4"," ","4098","2014","xy","SIAP","501 W Powell Ln
Austin, TX 78753
(30.34529, -97.69956)"
"Academia De Danza Y Folklore Mexicano Inc","Creative Workspace","Dance Studio"," "," ","Dance"," "," ","3"," ","3064","2016","xy","SIAP","1805 E 7Th St
Austin, TX 78702
(30.262635, -97.723189)"
"Academy Of Music","Education","Education, Creative Learning, Professional Development"," "," ","Music"," "," ","6"," ","6066","2014","xy","SIAP","8863 Anderson Mill Rd
Austin, TX 78729
(30.453585, -97.774135)"
"Affordable Delivery Printing","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","2"," ","2018","2014","xy","SIAP","5302 Village Trl
Austin, TX 78744
(30.195926, -97.746174)"
"Alamo Drafthouse Cinema (Lakeline)","Movie Theater","Movie Theater"," "," ","Film/TV/Media"," "," ","6"," ","6005","2014","xy","SIAP","14028 N Highway 183
Austin, TX 78717
(30.468488, -97.797473)"
"Academy of Oriental Medicine at Austin","Education","Education, Creative Learning, Professional Development"," "," ","Other","About AOMA:			 The Academy of Oriental Medicine at Austin offers a masters-level graduate program in acupuncture and Oriental medicine, preparing its students for careers as skilled, professional practitioners.  AOMA is known for its internationally reco","http://www.aoma.edu","7"," ","7172","2016","xy","NPA_org","2700 W Anderson
Austin, TX 78757
(30.359012, -97.736151)"
"Academy of Tango - Texas","Education","Historical Societies & Historic Preservation"," "," ","Theater Arts","Academy of Tango – Texas was created to educate the community about Argentine Tango in a manner that preserves the identity, culture, and history of its creation in Buenos Aires, Argentina, as approved by the Academia Nacional del Tango de la Repub","http://www.academyoftangotexas.org","0"," ","515","2016","list","NPA_org","
Austin, TX 78755
(0.0, 0.0)"
"Accelerando Music Svc","Business","Supplier, Retail"," "," ","Music"," "," ","6"," ","6049","2014","xy","SIAP","12520 Labrador Cv
Austin, TX 78729
(30.446522, -97.772953)"
"Acclaim Screen Printing","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7215","2014","xy","SIAP","12202 N Mo Pac Expy
Austin, TX 78758
(30.411996, -97.710173)"
"Accordian 16 by StenLex","Public Art","Art in Public Places Donation"," "," ","Visual Arts","Established by the City in 1985, the Art in Public Places (AIPP) program collaborates with local & nationally-known artists to include the history and values of our community into cultural landmarks that have become cornerstones of Austin’s identity.","http://www.austintexas.gov/department/art-in-public-places","9","COA","9683","2016","xy","AIPP","222 West Ave
Austin, TX 78701
(30.2674, -97.752658)"
"ACE Academy","Education","Education, Creative Learning, Professional Development"," "," ","Other","ACE Academy is a private, independent school for gifted students in Austin, Texas. ACE combines strong, integrated academic curriculum with a global outlook.","http://www.austingifted.org","10"," ","10146","2016","xy","NPA_org","3901 Shoal Creek Blvd
Austin, TX 78756
(30.310003, -97.748196)"
"ACL-Live","Event Venue","Event Venue"," "," ","Music","Austin City Limits Live at The Moody Theater is a state-of-the-art, 2,700 + person capacity live music venue that will also serve as the new home of the KLRU-TV produced PBS program Austin City Limits, the longest running music series in American televis","http://acl-live.com","9"," ","9201","2016","xy","NPA_org","310 W 2Nd St
Austin, TX 78701
(30.265296, -97.74663)"
"Acot Theater Hotline","Business","Service & Support Business"," "," ","Film/TV/Media"," "," ","9"," ","9101","2014","xy","SIAP","101 W 6Th St
Austin, TX 78701
(30.267815, -97.742947)"
"Acro-Cats of Chicago in Austin","Event/ Festival","Event/ Festival"," "," ","Theater Arts","We host and promote The Acro-Cats of Chicago's Austin shows annually.","http://circuscats.com","0"," ","275","2016","list","NPA_org","
Austin, TX 78722
(0.0, 0.0)"
"Action Film Institute","Business","Talent Management"," "," ","Theater Arts","We provide Stunt Coordinators and Action Actors/Stunt Performers throughout the world with comprehensive insight on stunt related productions, stunt trainings and seminars and information on new action films, television shows and live action stunt auditi","http://www.fightingstunts.com","7"," ","7243","2016","xy","NPA_org","10435 Burnet Rd
Austin, TX 78758
(30.388002, -97.722709)"
"Action Screen Graphics","Business","Screen Printing"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3282","2014","xy","SIAP","1406 Smith Rd
Austin, TX 78721
(30.255838, -97.680275)"
"Acton Academy","Education","Education, Creative Learning, Professional Development"," "," ","Multidisciplinary"," ","http://www.actonacademy.org/","1"," ","1157","2016","addrs","D5 Meeting","2201 Alexander Ave
Austin, TX 78722
(30.284431, -97.709886)"
"Actors Arena","Education","Education, Creative Learning, Professional Development"," "," ","Theater Arts","Austin's premiere acting studio","http://www.theactorsarena.com","0"," ","15","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"Actors Clearinghouse","Business","Talent Management"," "," ","Theater Arts"," "," ","3"," ","3089","2014","xy","SIAP","902 E 5Th St
Austin, TX 78702
(30.264764, -97.733829)"
"Actors Coop","Organization","Theater Company"," "," ","Theater Arts","The Actors Coop is a producing theater company based in Austin Texas.","http://theactorscoop.com/","0"," ","16","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"Adam Sear Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","5"," ","5036","2014","xy","SIAP","2525 S Lamar Blvd
Austin, TX 78704
(30.245918, -97.778519)"
"Adam Voorhes Photography","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","5"," ","5135","2014","xy","SIAP","4312 Gillis St
Austin, TX 78745
(30.227419, -97.781782)"
"Adelbert's Brewery","Restaurant","Restaurant"," "," ","Culinary Arts","Monthly Art Show","adelbertsbeer.com/","7"," ","7209","2016","addrs","D3 Meeting","2314 Rutland Dr #100 Austin
Austin, TX 78758
(30.382666, -97.720162)"
"Adelphi Acre Community Garden","Public Park","Public Park"," "," ","Other","an all-volunteer organic growing cooperative dedicated to locally-sourced, fresh food and sustainable, community-based agriculture.","http://www.adelphiacre.org/","7"," ","7295","2016","xy","Wikimap","3701 Adelphi Ln
Austin, TX 78759
(30.4207, -97.715149)"
"Adkins Mc Laren","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7105","2014","xy","SIAP","911 W Anderson Ln
Austin, TX 78757
(30.347504, -97.714625)"
"Adobe Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","0"," ","394","2014","xy","SIAP","9402 Lauralan Dr
Austin, TX 78736
(30.244837, -97.910093)"
"Adobe Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","9"," ","9102","2014","xy","SIAP","700 San Antonio St
Austin, TX 78701
(30.270368, -97.747296)"
"Adolph's Printing Svc","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","2"," ","2017","2014","xy","SIAP","5214 Burleson Rd
Austin, TX 78744
(30.210632, -97.726622)"
"Advantage Graphics","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","0"," ","356","2014","list","SIAP","9262 Scenic Bluff Dr
Austin, TX 78733
(0.0, 0.0)"
"Affordable Commercial Photo","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","0"," ","534","2014","list","SIAP","
Austin, TX 78757
(0.0, 0.0)"
"African American Technical Resource Center (A-TRC)","Organization","Cultural Heritage, Ethnicity, and Religious Groups"," "," ","Multidisciplinary","The African American Technical Resource Center (AAATRC) was founded in 2001 by Boyd Vance, then director of ProArts Collective. AAATRC was founded to specifically assist Black artists develop programs for the Austin community. Continuing as a special pro","http://www.a-trc.org","1"," ","1102","2016","xy","NPA_org","1009 E 11Th St
Austin, TX 78702
(30.269389, -97.73059)"
"African American Visitor's Center/ Dedrick-Hamilton House","Landmark","Landmark"," "," ","Other"," "," ","1"," ","1059","2016","addrs","D1 Meeting","912 E 11Th St
Austin, TX 78702
(30.26987, -97.730821)"
"African Chamber Of Commerce Of Texas Inc","Organization","Chambers of Commerce, Business Leagues"," "," ","Other","networking, cultural center, s 2001","http://africanchambersofcommerceoftx.org/benefits.html","4"," ","4148","2014","xy","SIAP","900 Blackson
Austin, TX 78761
(30.333506, -97.698887)"
"Afro Caribbean Collective Soul","Organization","Band, Musical Group, Ensemble"," "," ","Dance"," "," ","0"," ","671","2016","list","CAMP KIT","
Austin, TX 0
(0.0, 0.0)"
"Ag Project Inc","Education","Education, Creative Learning, Professional Development"," "," ","Other","School Gardens, sensory gardening","http://www.theagproject.org","6"," ","6125","2014","xy","SIAP","9707 Anderson Mill Road
Austin, TX 78750
(30.447561, -97.793639)"
"Agape Actors Co-Op","Organization","Theater Company"," "," ","Theater Arts","Agape Actors Co-op exists to produce living breathing theatre that features Christian ethics of respect, generosity, love, and mutual support while challenging the mind, body, and spirit. Showing that we form a community whose complex, diverse, and somet","http://agapeactors.wordpress.com","0"," ","254","2016","list","NPA_org","
Austin, TX 78717
(0.0, 0.0)"
"Agaveprint","Business","Service & Support Business"," "," ","Graphic Design, Printmaking"," "," ","3"," ","3090","2014","xy","SIAP","1312 E Cesar Chavez St
Austin, TX 78702
(30.259751, -97.731335)"
"AGE Building","Event Venue","Event Venue"," ","Event Venue","Multidisciplinary","The Historic AGE Building at 38th and Cedar Street was built in 1907 by the United Daughters of the Confederacy as the “Confederate Woman's Home.” Now an Austin designated landmark and local treasure, the building was purchased in 1986 and ha","http://www.ageofaustin.org","9"," ","9480","2016","xy","NPA_ven","3710 Cedar
Austin, TX 78705
(30.300818, -97.735213)"
"Agence Talent Llc","Business","Talent Management"," "," ","Theater Arts"," "," ","3"," ","3091","2014","xy","SIAP","908 E 5Th St
Austin, TX 78702
(30.264744, -97.733769)"
"Agility Printing","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","2"," ","2019","2014","xy","SIAP","3709 Promontory Point Dr
Austin, TX 78744
(30.209984, -97.726851)"
"Agni Entertainment","Organization","Production Company"," "," ","Film/TV/Media","Agni Entertainment's prime focus is the production, promotion and distribution of independent film, theatre projects. Agni also aims to spread its wings into the arenas of media management and entertainment news. Its goal is to establish the missing link","http://www.agnientertainment.com/home.htm","0"," ","17","2016","list","NPA_org","
Austin, TX 0
(0.0, 0.0)"
"AgudasARTS","Organization","Production Company"," "," ","Multidisciplinary","AgudasARTS is the cultural and performing arts programming organization of Congregation Agudas Achim, the center for Conservative Judaism in Austin, Texas.  AgudasARTS is committed to presenting a wide variety of artistically excellent programs and event","http://caa-austin.org","10"," ","10089","2016","xy","NPA_org","7300 Hart Lane
Austin, TX 78731
(30.356987, -97.755341)"
"AIA Austin","Organization","Societies, Alliances, Professional Associations"," "," ","Architecture"," ","https://www.aiaaustin.org","9"," ","9202","2014","xy","SIAP","801 W 12Th St
Austin, TX 78701
(30.275763, -97.748586)"
"AIGA, American Institute Of Graphic Arts","Organization","Societies, Alliances, Professional Associations"," "," ","Graphic Design, Printmaking","Design prof org","http://austin.aiga.org","9"," ","9259","2014","xy","SIAP","815 Brazos St
Austin, TX 78701
(30.269601, -97.740421)"
"Aikido Of Austin","Organization","Education, Creative Learning, Professional Development"," "," ","Other","Japanese matial art","http://austinaikido.org","4"," ","4032","2014","xy","SIAP","5501 N Lamar Blvd
Austin, TX 78751
(30.322823, -97.72797)"
"Aimage","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","4"," ","4117","2014","xy","SIAP","501 Oertli Ln
Austin, TX 78753
(30.348849, -97.699311)"
"Aim-Printing & Marketing","Business","Commercial Printing"," "," ","Graphic Design, Printmaking"," "," ","7"," ","7009","2014","xy","SIAP","4312 Charlemagne Ct
Austin, TX 78727
(30.421995, -97.722377)"
"AISD  Performing Arts Center - Auditorium","Theater","Auditorium","Live Music"," ","Multidisciplinary","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","https://pac.fineartsaustin.org/Online/","9"," ","9814","2016","xy","KMoon","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.3051995801, -97.7027110668)"
"AISD  Performing Arts Center - Black Box Theater","Theater","Black Box/ Flex Space"," "," ","Theater Arts","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","https://pac.fineartsaustin.org/Online/","9"," ","9815","2016","xy","KMoon","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.3051995801, -97.7027110668)"
"AISD  Performing Arts Center - Dance Studio","Creative Workspace","Dance Studio"," "," ","Dance","The Performing Arts Center is a state-of-the-art facility designed specifically to enhance the arts experience for each and every student and teacher in Austin ISD.","https://pac.fineartsaustin.org/Online/","9"," ","9813","2016","xy","KMoon","1500 Barbara Jordan Blvd
Austin, TX 78723
(30.3051995801, -97.7027110668)"
"AKA Vocal Show Group","Organization","Band, Musical Group, Ensemble"," "," ","Music","Based in Austin, Texas, aka is a collective of dedicated performers who just really love to sing and make music.
"," ","0"," ","378","2016","xy","NPA_org","306 Bunnyhop Tr
Austin, TX 78734
(30.374359, -97.962794)"
"Alamo","Organization","Arts Advocacy & Support Orgs"," "," ","Literary Arts","ALAMO,Inc. (Alamo Literary Arts Maintenance Organization) is a 501(c)3 nonprofit literary corporation recognized by the IRS since 1996. ALAMO, Inc. is organized for the purposes of promoting the understanding and appreciation of the literary fields of fa","http://www.alamo-sf.org","0"," ","516","2014","list","SIAP","12917 Candlestick Pl
Austin, TX 78755
(0.0, 0.0)"
"Alamo Drafthouse Cinema (Ritz)","Movie Theater","Movie Theater"," "," ","Film/TV/Media"," "," ","9"," ","9103","2014","xy","SIAP","320 E 6Th St
Austin, TX 78701
(30.26758, -97.740037)"
"Alamo Drafthouse Cinema (Slaughter Lane)","Movie Theater","Movie Theater"," "," ","Film/TV/Media"," "," ","8"," ","8117","2014","addrs","SIAP","5701 W Slaughter Ln
Austin, TX 78749
(30.200844, -97.866912)"
"Alamo Drafthouse Cinema (South Lamar)","Movie Theater","Movie Theater"," "," ","Film/TV/Media"," "," ","5"," ","5037","2014","xy","SIAP","1120 S Lamar Blvd
Austin, TX 78704
(30.255501, -97.762174)"
"Alamo Drafthouse Cinema (Village)","Movie Theater","Movie Theater"," "," ","Film/TV/Media","Come and enjoy a movie at the Alamo Drafthouse Village.  The Alamo Drafthouse Cinema is Austin's only independently owned and operated movie theater.","http://www.originalalamo.com/village","7"," ","7106","2016","xy","NPA_ven","2700 West Anderson
Austin, TX 78757
(30.359012, -97.736151)"
"Alamo Endowment","Organization","Historical Societies & Historic Preservation"," "," ","Other","The Alamo Endowment is dedicated to defending the Shrine of Texas Liberty and preserving its future.","http://alamoendowment.org/","9"," ","9279","2014","xy","SIAP","1700 N Congress Ave
Austin, TX 78702
(30.246986, -97.750944)"
"Alamo Recreation Center, City of Austin, Parks & Recreation","Recreation/Community Center","Recreation/ Community Center"," ","Event Venue","Other"," ","http://www.austintexas.gov/tcta","1","COA","1176","2014","xy","SIAP","2100 Alamo St
Austin, TX 78722
(30.282633, -97.719847)"
"Alamosaics","Business","Service & Support Business"," "," ","Visual Arts","Larry DeLacretaz  has built these uniquely styled reclaimed wood  mosaics since 1996. Past works have depicted musicians, entertainers and historical figures.","http://alamosaics.com/","8"," ","8161","2016","xy","Wikimap","5912 Brown Rock Trail
Austin, TX 78749
(30.216304, -97.870132)"
"A'lante Flamenco Dance Ensemble","Organization","Dance Company"," "," ","Dance","A'lante Flamenco Dance Ensemble is Austin's most exciting new flamenco troupe. Directed and choreographed by Olivia Chacón of Flamencura Dance, this quartet of skilled dancers tears up the floorboards and excites audiences with their own brand of"," ","0"," ","18","2016","list","NPA_org","
,  0
(0.0, 0.0)"
"Albert Ice House & Dance Hall","Bar/Club/Venue","Bar/Club/Venue","Live Music"," ","Music","In March of 2003, Robert L. Cave, a business owner/singer-songwriter from Austin, purchased the little town of Albert with the dream of one day resurrecting the old general store and still standing dancehall. Being a frequent visitor to Luckenbach, Cave","http://www.alberttexas.com/","8"," ","8001","2016","xy","TMO_16","6705 Highway 290 West
Stonewall, TX 78671
(30.233078, -97.865427)"
"Album Artist","Business","Graphic Design Services"," "," ","Graphic Design, Printmaking"," "," ","2"," ","2068","2014","xy","SIAP","601 Sundial Cv
Austin, TX 78748
(30.181135, -97.793063)"
"Aleksander's Same Day Framing","Business","Service & Support Business"," "," ","Photography"," "," ","4"," ","4011","2014","xy","SIAP","1803 Northridge Dr
Austin, TX 78723
(30.311199, -97.693167)"
"Alex Labry Photographer","Business","Photographer/ Photo Studio"," "," ","Photography"," "," ","9"," ","9250","2014","xy","SIAP","1801 Lavaca St
Austin, TX 78701
(30.280288, -97.740554)"
