category,issuing_body,title,vintage,retrieval_date,url,workstream,limitation_note
Other states' programs and evaluations,Louisiana Department of Revenue,"Tax Exemption Budget, 2025--2026 edition","actuals through FYE June 30, 2025; projections for FYE 2026--2027",2026-08-01,https://dam.ldr.la.gov/publications/TEB(2025)(WEB).pdf,06_state_policy_benchmark,"primary utilization source; figures are revenue loss (credits claimed), not credits certified or the statutory cap"
Other states' programs and evaluations,Louisiana Department of Revenue,Return on Investment Analysis for Selected Louisiana Tax Incentive Programs (R-21000),published January 2025; analyzes FY2023,2026-08-01,https://dam.ldr.la.gov/publications/R-21000(1_25)%20ROI%20Report%20d5%20(WEB).pdf,06_state_policy_benchmark,neither Louisiana music credit appears; both fall below the $1 million statutory trigger for review
Other states' programs and evaluations,Louisiana Legislature,"La. R.S. 47:6023 (Sound Recording Investor Tax Credit), current text","current, incl. 2024 Third Extraordinary Session amendments",2026-08-01,https://www.legis.la.gov/Legis/Law.aspx?d=321887,06_state_policy_benchmark,
Other states' programs and evaluations,"Louisiana Legislature, 2025 R.S.","House Bill 653, enrolled (would have extended and expanded the Sound Recording Investor Tax Credit)",enrolled June 2025,2026-08-01,https://www.legis.la.gov/legis/ViewDocument.aspx?d=1421402,06_state_policy_benchmark,"passed 89-7 (House) and 32-5 (Senate); vetoed by the Governor June 20, 2025"
Other states' programs and evaluations,Louisiana Legislature,"House Bill 653 (2025), bill status and action history",current as of retrieval,2026-08-01,https://www.legis.la.gov/Legis/BillInfo.aspx?s=25RS&b=HB653&sbi=y,06_state_policy_benchmark,
Other states' programs and evaluations,Louisiana Department of Revenue,2024 Third Extraordinary Session Legislative Summaries,"rev. January 2, 2025",2026-08-01,https://dam.ldr.la.gov/miscellaneous/2024%20Tax%20Reform%20Legislative%20Summaries%20rev%201.2.25.pdf,06_state_policy_benchmark,"self-labeled “informal advice,” not binding on LDR"
Other states' programs and evaluations,Louisiana Economic Development (Louisiana Entertainment),"Sound Recording and Live Performance Production, program pages","current as of retrieval; both programs closed to new applications June 30, 2025",2026-08-01,https://www.louisianaentertainment.gov/music/sound-recording-program,06_state_policy_benchmark,
Other states' programs and evaluations,Louisiana Legislature,"La. R.S. 47:6034 (Musical and Theatrical Production Tax Credit), full statutory text",,2026-08-01,URL not recorded,06_state_policy_benchmark,not retrieved; every mirror attempted returned an error. Program design reconstructed from the Tax Exemption Budget and the Louisiana Entertainment program pages
Other states' programs and evaluations,New York State Senate,N.Y. Tax Law § 24-c (New York City Musical and Theatrical Production Tax Credit),current,2026-08-01,https://www.nysenate.gov/legislation/laws/TAX/24-C,06_state_policy_benchmark,"the research brief’s working citation of § 24-a was wrong; § 24-a is the separate, much smaller upstate program"
Other states' programs and evaluations,Empire State Development,"New York City Musical and Theatrical Production Tax Credit, program page",current as of retrieval,2026-08-01,https://esd.ny.gov/new-york-city-musical-and-theatrical-production-tax-credit,06_state_policy_benchmark,
Other states' programs and evaluations,Empire State Development,"Program Guidelines, NYC Musical and Theatrical Production Tax Credit","rev. July 5, 2024",2026-08-01,https://esd.ny.gov/sites/default/files/media/document/Program-Guidelines-NYC-MT-07052024.pdf,06_state_policy_benchmark,"stale on the cap and sunset date (states $300 million and September 30, 2025); still authoritative on eligibility and equity requirements"
Other states' programs and evaluations,Empire State Development,"Musical and Theatrical Tax Credit Annual Report, 2024 (upstate, § 24-a program)","calendar year 2024; PDF authored January 23, 2025",2026-08-01,https://www.esd.ny.gov/esd-media-center/reports/musical-and-theatrical-tax-credit-annual-report-2024,06_state_policy_benchmark,covers only the smaller upstate program; ESD publishes no equivalent public report for the larger NYC program
Other states' programs and evaluations,Justia (New York Consolidated Laws),N.Y. Tax Law § 24-a (Empire State Musical and Theatrical Production Credit),2024 code,2026-08-01,https://law.justia.com/codes/new-york/tax/article-1/24-a/,06_state_policy_benchmark,blocked by Cloudflare on direct fetch; content obtained via search summary and should be treated as secondary
Other states' programs and evaluations,New York State Department of Taxation and Finance,"Annual Report on New York State Tax Expenditures, FY2027 edition, Table 8 (cross-article tax credits)",2026 report,2026-08-01,https://www.tax.ny.gov/data/stats/ter/fiscal-year27/cross-article-tax-credits.htm,06_state_policy_benchmark,primary source for actual claims by tax year
Other states' programs and evaluations,New York State Department of Taxation and Finance,"Annual Report on New York State Tax Expenditures, FY2026 edition, Table 8",2025 report,2026-08-01,https://www.tax.ny.gov/data/stats/ter/fiscal-year26/cross-article-tax-credits.htm,06_state_policy_benchmark,
Other states' programs and evaluations,New York State Department of Taxation and Finance,"FY2026 Executive Budget, tax expenditure proposals",January 2025,2026-08-01,https://www.tax.ny.gov/data/stats/ter/fiscal-year26/executive-budget-tax-expenditure-proposals.htm,06_state_policy_benchmark,source of a disputed $1.5 million per-production cap figure that does not appear in the current statute
Other states' programs and evaluations,New York State Department of Taxation and Finance,"FY2027 Executive Budget, tax expenditure proposals",January 2026,2026-08-01,https://www.tax.ny.gov/data/stats/ter/fiscal-year27/executive-budget-tax-expenditure-proposals.htm,06_state_policy_benchmark,
Other states' programs and evaluations,Tennessee Entertainment Commission,TEC Scoring Incentive Program Guidelines,"rev. July 1, 2025",2026-08-01,https://www.tnentertainment.com/lib/file/manager/PDFs/Guidelines_TEC_Scoring_Incentive_Program_Rev_July_1st_2025.pdf,06_state_policy_benchmark,"funded through the Visual Content Modernization Act of 2018, not the 2006 act named in the original research brief; the underlying T.C.A. section numbers were not verified"
Other states' programs and evaluations,Tennessee Entertainment Commission,Music incentives page,current as of retrieval,2026-08-01,https://www.tnentertainment.com/music/incentives/,06_state_policy_benchmark,
Other states' programs and evaluations,Tennessee Entertainment Commission,Complete Production Incentive Guidelines (film/TV),"rev. July 10, 2024",2026-08-01,https://www.createtn.com/lib/file/manager/TEC_Complete_Production_Incentive_Guidelines.pdf,06_state_policy_benchmark,music videos are expressly ineligible; conflicts with the TEC website on the film minimum-spend threshold
Other states' programs and evaluations,Tennessee Entertainment Commission,Film incentives page,current as of retrieval,2026-08-01,https://www.tnentertainment.com/film/incentives/,06_state_policy_benchmark,
Other states' programs and evaluations,"State of Tennessee, Department of Finance and Administration","State Budget Document, FY2026--2027, Volume 1",published January/February 2026,2026-08-01,https://www.tn.gov/content/dam/tn/finance/budget/documents/budget-archive/budget-documents/2027BudgetDocumentVol1.pdf,06_state_policy_benchmark,line 330.17 (Film and Television Incentive Fund) funds both the film and the music/scoring incentive with no breakout
Other states' programs and evaluations,"State of Tennessee, Department of Finance and Administration","State Budget Document, FY2025--2026, Volume 1",published January/February 2025,2026-08-01,https://www.tn.gov/content/dam/tn/finance/budget/documents/budget-archive/budget-documents/2026BudgetDocumentVol1.pdf,06_state_policy_benchmark,
Other states' programs and evaluations,Oxford Economics,The Concerts and Live Entertainment Industry,July 2021 report; 2019 reference year,2026-08-01,URL not recorded,06_state_policy_benchmark,not retrieved directly; a nine-state comparison table is reproduced in the Georgia DOAA evaluation (Table 4); Texas is not among the nine states shown there
"Surveys, studies, and industry reports","Titan Music Group, LLC (for the City of Austin Economic Development Department, Music & Entertainment Division)",The Austin Music Census: A Data-Driven Assessment of Austin’s Commercial Music Economy,"fielded late 2014; published June 1, 2015; income data are pre-tax calendar 2013",2026-08-01,https://austin.widen.net/content/om7zqn1qbx/pdf/Austin_Music_Census_Interactive_PDF_53115.pdf,05_music_census_pay_surveys,"self-selected online convenience sample, n=3,968; authored by Titan Music Group, not TXP; microdata never publicly released"
"Surveys, studies, and industry reports",Sound Music Cities,2022 Greater Austin Music Census – Summary Report,"fielded July 15--September 12, 2022; published February 2023",2026-08-01,https://www.austinmusiccensus.org/s/2022-Greater-Austin-Music-Census-SUMMARY-REPORT-v13-optimized.pdf,05_music_census_pay_surveys,"n=2,260, self-selected; income questions were deliberately removed; image-only PDF"
"Surveys, studies, and industry reports",Sound Music Cities,2022 Greater Austin Music Census – Data Appendix,2023,2026-08-01,https://www.austinmusiccensus.org/s/2022-Greater-Austin-Music-Census-Data-APPENDIX-v12-optimized.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Sound Music Cities,2022 Greater Austin Music Census – DEI Data Deep Dive Appendix,2023,2026-08-01,https://www.austinmusiccensus.org/s/2022-Greater-Austin-Music-Census-DEI-Data-APPENDIX-v12.pdf,05_music_census_pay_surveys,image-only PDF
"Surveys, studies, and industry reports",City of Austin Economic Development Department,Music and Creative Ecosystem Stabilization Recommendations,June 2016,2026-08-01,https://austin.widen.net/content/smcazf04mu/pdf/Music_and_Creative_Ecosystem_Stabilization_Recommendations__June_2016_.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",City of Austin,Building Austin’s Creative Capacity – Needs Assessment,2016,2026-08-01,https://austin.widen.net/content/3ukvlrtdte/pdf/BuildingAustin_sCreativeCapacity_Compilation.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",City of Austin,Thriving in Place: Supporting Austin’s Cultural Vitality Through Place-Based Economic Development,January 2018,2026-08-01,https://austin.widen.net/content/cmebuokend/pdf/ThrivinginPlaceReport_1_30_18.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports","TXP, Inc.",The Economic Impact of Music: 2016 UPDATE,"February 2016, using 2014 data",2026-08-01,https://austin.widen.net/content/a0case0pss/pdf/TXP-Austin-Music-Impact-Update-2016-Final.pdf,05_music_census_pay_surveys,"roughly two-thirds of the headline impact rests on a tourism-attribution assumption, not a direct measurement"
"Surveys, studies, and industry reports",University of Texas at Austin (Prof. Eric Drott et al.),Support Austin Musicians,drafted July 2024,2026-08-01,https://supportaustinmusicians.org/final-summary/,05_music_census_pay_surveys,"approximately 60 non-random interviews; project website, no named lead author, not peer reviewed"
"Surveys, studies, and industry reports","Krueger, Alan B., and Ying Zhen, with James Reeves (Music Industry Research Association, Princeton University Survey Research Center, and MusiCares)",Report on the MIRA Musician Survey,"embargoed until June 22, 2018; fieldwork April--June 2018",2026-08-01,http://web.archive.org/web/20181003155850/https://img1.wsimg.com/blobby/go/53aaa2d4-793a-4400-b6c9-95d6618809f9/downloads/1cgjrbs3b_761615.pdf,05_music_census_pay_surveys,"n=1,227, nonrandom, 62% recruited from MusiCares clients; themira.org now returns 403, recovered via the Internet Archive"
"Surveys, studies, and industry reports",Music Industry Research Association,"MIRA Musician Survey, questionnaire",2018,2026-08-01,https://www.ehcca.com/presentations/musicianssummit1/zhen_1_handout.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports","Zhen, Ying","MIRA wellbeing and representativeness, conference slides",2018,2026-08-01,https://cip2.gmu.edu/wp-content/uploads/sites/31/2020/09/Ying-Zhen-Presentation-Slides.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports","Zhen, Ying",Career challenges facing musicians in the United States,"Journal of Cultural Economics, 2022",2026-08-01,https://link.springer.com/article/10.1007/s10824-022-09442-x,05_music_census_pay_surveys,"paywalled; abstract only, not independently verified beyond the citation"
"Surveys, studies, and industry reports","Zhen, Ying",Gender and Racial Discrimination in the U.S. Music Industry,"Sage, 2023",2026-08-01,https://journals.sagepub.com/doi/10.1177/05694345221092958,05_music_census_pay_surveys,presumed paywalled; not retrieved
"Surveys, studies, and industry reports",Future of Music Coalition (Berkman Center / Rethinking Music),Artist Revenue Streams: A Multi-Method Research Project,2011--2012 fieldwork,2026-08-01,https://cyber.harvard.edu/sites/cyber.harvard.edu/files/Rethinking_Music_Artist_Revenue_Streams.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports","DiCola, Peter",Money from Music: Survey Evidence on Musicians’ Revenue and Lessons About Copyright Incentives,"Arizona Law Review 55, no. 2 (2013): 301--370",2026-08-01,https://arizonalawreview.org/pdf/55-2/55arizlrev301.pdf,05_music_census_pay_surveys,"peer-reviewed version of the Future of Music Coalition survey; publishes medians (music-income median $18,000) where the project website published only means"
"Surveys, studies, and industry reports",Future of Music Coalition,"Money from Music, survey snapshot and data memos","fielded September 6--October 28, 2011",2026-08-01,http://web.archive.org/web/20160323201420/http://money.futureofmusic.org/survey-snapshot/,05_music_census_pay_surveys,project site (money.futureofmusic.org) no longer resolves; recovered from the Internet Archive
"Surveys, studies, and industry reports",Americans for the Arts,Arts & Economic Prosperity 6: The Economic and Social Impact Study of Nonprofit Arts and Culture Organizations and Their Audiences,2023 (study year: calendar 2022),2026-08-01,https://nmculture.org/assets/files/reports/AEP6_NationalReport.pdf,05_music_census_pay_surveys,"original host (americansforthearts.org) returns 403; obtained from a mirror. Austin, Houston, and San Antonio did not participate; Texas coverage is limited to Dallas-Fort Worth and Frisco"
"Surveys, studies, and industry reports",Sound Music Cities,"Nashville Music Census, 2024",2024,2026-08-01,https://www.greaternashvillemusiccensus.org/results,05_music_census_pay_surveys,"n=4,256 (the census homepage states 4,265, an unresolved discrepancy); average, not median, income"
"Surveys, studies, and industry reports",Sound Music Cities,"New Orleans Music Census, 2024","fieldwork May 10--June 29, 2024; report dated August 2024",2026-08-01,https://www.nolamusiccensus.org/,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Sound Music Cities,"Washington, D.C. Music Census, 2024","fieldwork April 10--May 29, 2024; report dated October 2024",2026-08-01,https://www.dcmusiccensus.org/s/2024-DC-Music-Census-Report-Final-10-25-24-compressed.pdf,05_music_census_pay_surveys,the only cohort city publishing gig-pay medians alongside averages
"Surveys, studies, and industry reports",Sound Music Cities / City of Sacramento Office of Arts and Culture,Sacramento Music Census,fieldwork October--November 2022; published August 2023,2026-08-01,https://www.cityofsacramento.gov/content/dam/portal/ccs/office-of-arts-and-culture/music-census/2023-August-Sacramento-Music-Census-Summary-Report-PRINT.pdf,05_music_census_pay_surveys,image-only PDF with no text layer; every figure is OCR output and should be checked against the PDF by eye
"Surveys, studies, and industry reports",Sound Music Cities,"Minneapolis Music Census, 2024","fieldwork April 12--May 6, 2024",2026-08-01,https://mplsartsandculture.org/2024-minneapolis-music-census,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Sound Music Cities,Cleveland Music Census,"fieldwork November 8--December 15, 2023; released August 2024",2026-08-01,https://clevelandrocksppf.org/wp-content/uploads/2024/08/2024-Cleveland-Summary-Report-v3.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Sound Music Cities / Johns Hopkins 21st Century Cities Initiative,"Baltimore Music Census, 2024","fieldwork March 4--June 26, 2024",2026-08-01,https://21cc.jhu.edu/wp-content/uploads/sites/64/baltimore-music-census-report.pdf,05_music_census_pay_surveys,"n=576, the smallest cohort city; the Industry and Venue subgroups are roughly 35--40 respondents each"
"Surveys, studies, and industry reports",Sound Music Cities,Charlotte Music Ecosystem Study and Action Plan,"released May 6, 2019",2026-08-01,http://web.archive.org/web/20230121011932/http://musiceverywhereclt.com/files/2019/04/2019_0425_SMC_Charlotte_Digital.pdf,05_music_census_pay_surveys,"n=1,802 (766 professionals); publishes a true median (under $10,000); a different instrument from the 2025 Charlotte Music Census"
"Surveys, studies, and industry reports",Sound Music Cities,Pittsburgh Music Ecosystem Study,released July 2018,2026-08-01,URL not recorded,05_music_census_pay_surveys,"report PDF not obtainable (404, no Internet Archive capture); n=1,800+ per the project announcement; no Pittsburgh income figures available"
"Surveys, studies, and industry reports",Sound Music Cities,"Multi-City Music Census Cohort: additional editions (Anchorage, Chattanooga, Columbus, Lawrence, Tulsa, NW Arkansas, Greensboro, Detroit, Charlotte 2025, and Baton Rouge)",fielded 2022--2026 across the 2023--24 and 2025--26 cohorts,2026-08-01,https://www.soundmusiccities.com/music-census-cohort,05_music_census_pay_surveys,"individual per-city report URLs were not separately captured in this pass; Anchorage and Baton Rouge exist only as Tableau dashboards, and Tulsa only as an Issuu-hosted PDF"
"Surveys, studies, and industry reports","Brown, Megan (Musicians’ Association of Seattle, AFM Local 76-493)",Seattle’s Working Musicians,2015,2026-08-01,URL not recorded,05_music_census_pay_surveys,"n=124; local file only, no public URL recorded; median music income $15,000/year"
"Surveys, studies, and industry reports",Health Alliance for Austin Musicians (HAAM),2014 Annual Impact Report,2014,2026-08-01,https://www.myhaam.org/s/2014-Annual-Impact-Report,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2015 Annual Impact Report,2015,2026-08-01,https://www.myhaam.org/s/2015-Annual-Impact-Report,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2016 Annual Impact Report,2016,2026-08-01,https://www.myhaam.org/s/2016-Annual-Impact-Report,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2017-18 Annual Impact Report,2017--2018,2026-08-01,https://www.myhaam.org/s/2017-18-Annual-Impact-Report,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2019 Annual Impact Report,2019,2026-08-01,https://www.myhaam.org/s/2019-HAAM-Annual-Impact-Report.pdf,05_music_census_pay_surveys,reprints 2015 Austin Music Census figures as though current
"Surveys, studies, and industry reports",HAAM,2020 Annual Impact Report,2020,2026-08-01,https://www.myhaam.org/s/2020-Annual-Impact-Report,05_music_census_pay_surveys,source of the food-insecurity finding (29% pre-COVID to 74% post-COVID)
"Surveys, studies, and industry reports",HAAM,2022 Annual Impact Report,2022,2026-08-01,https://static1.squarespace.com/static/5ed3d236709a614ffb385827/t/6568bc7f36a53b2bce6899af/1747062958076/2022+HAAM+Digital+Annual+Report_.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2023 Annual Impact Report (published under the filename “HAAM-Annual-Report_2024_rev.pdf”; the cover and content are FY2023),2023,2026-08-01,https://www.myhaam.org/s/HAAM-Annual-Report_2024_rev.pdf,05_music_census_pay_surveys,"cite by content year, not filename"
"Surveys, studies, and industry reports",HAAM,2024 Annual Impact Report (published under the filename “HAAM-Annual-Report-2024_Errata.pdf”),2024,2026-08-01,https://www.myhaam.org/s/HAAM-Annual-Report-2024_Errata.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,2025 Annual Impact Report (“Sustaining the Sound”),2025,2026-08-01,https://www.myhaam.org/s/HAAM-Sustaining-the-Sound-2025_web.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",HAAM,Presentations to Austin City Council (two decks),undated,2026-08-01,https://services.austintexas.gov/edims/document.cfm?id=382651,05_music_census_pay_surveys,image-heavy slide decks; content overlaps the annual reports
"Surveys, studies, and industry reports","Health Alliance for Austin Musicians (EIN 80-0147620), via ProPublica Nonprofit Explorer","IRS Form 990 filings, FY2011--FY2023",FY2011--FY2023 (ProPublica’s data stops at FY2023),2026-08-01,https://projects.propublica.org/nonprofits/organizations/800147620,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",SIMS Foundation,"IRS Form 990, FY2023",FY2023,2026-08-01,https://simsfoundation.org/wp-content/uploads/2025/08/Sims-2023-Form-990-PUBLIC-COPY.pdf,05_music_census_pay_surveys,"the 711 recipients / $536,205 figure is the most defensible SIMS annual service-volume number, from a signed filing"
"Surveys, studies, and industry reports",SIMS Foundation,"Audit Report, 2023",2023,2026-08-01,https://simsfoundation.org/wp-content/uploads/2025/08/SIMS-Foundation-Audit-Report-2023.pdf,05_music_census_pay_surveys,
"Surveys, studies, and industry reports","SIMS Foundation (EIN 74-2766013), via ProPublica Nonprofit Explorer","IRS Form 990 filings, FY2011--FY2023",FY2011--FY2023,2026-08-01,https://projects.propublica.org/nonprofits/organizations/742766013,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",SIMS Foundation,"Impact page (cumulative clients, sessions, and investment since 1995)",current as of retrieval,2026-08-01,https://simsfoundation.org/impact/,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Sonic Guild (formerly Black Fret),About page (cumulative grants and musicians funded),current as of retrieval,2026-08-01,https://sonicguild.org/about/,05_music_census_pay_surveys,Austin and Seattle chapters combined; do not treat as an Austin-only figure
"Surveys, studies, and industry reports","Black Fret / Sonic Guild (EIN 46-0576111), via ProPublica Nonprofit Explorer","IRS Form 990 filings, FY2014--FY2023",FY2014--FY2023,2026-08-01,https://projects.propublica.org/nonprofits/organizations/460576111,05_music_census_pay_surveys,ProPublica’s API does not populate the grants-paid field for this organization
"Surveys, studies, and industry reports","MusiCares (Recording Academy) (EIN 95-4470909), via ProPublica Nonprofit Explorer","IRS Form 990 filings, FY2011--FY2023",FY2011--FY2023,2026-08-01,https://projects.propublica.org/nonprofits/organizations/954470909,05_music_census_pay_surveys,no Texas- or Austin-specific distribution figure is published
"Surveys, studies, and industry reports",Recording Industry Association of America (RIAA),2025 Year-End Music Industry Revenue Report,"calendar year 2025, published March 2026",2026-08-01,https://www.riaa.com/wp-content/uploads/2026/03/RIAA-Year-End-Revenue-2025.pdf,11_streaming_royalties,"reports on a wholesale basis, a methodology change from prior years"
"Surveys, studies, and industry reports",RIAA,2024 Year-End Music Industry Revenue Report,"calendar year 2024, published March 2025",2026-08-01,https://www.riaa.com/wp-content/uploads/2025/03/RIAA-2024Year-End-Revenue-Report.pdf,11_streaming_royalties,reports on a retail basis; do not compare dollar totals to the 2025 report without adjusting for basis
"Surveys, studies, and industry reports",RIAA,2015 Year-End Shipments & Revenue memo,"calendar year 2015, published March 2016",2026-08-01,https://www.riaa.com/wp-content/uploads/2016/03/RIAA-2015-Year-End-shipments-memo.pdf,11_streaming_royalties,
"Surveys, studies, and industry reports",RIAA,Reports archive,ongoing,2026-08-01,https://www.riaa.com/reports/,11_streaming_royalties,
"Surveys, studies, and industry reports",RIAA,U.S. Music Revenue Database (interactive),ongoing,2026-08-01,https://www.riaa.com/u-s-sales-database/,11_streaming_royalties,
"Surveys, studies, and industry reports",The Mechanical Licensing Collective (MLC),2024 Annual Report,"FY2024, published circa 2025",2026-08-01,https://themlc.com/hubfs/The%20MLC%202024%20Annual%20Report.pdf,11_streaming_royalties,
"Surveys, studies, and industry reports",MLC,2025 Annual Report,"FY2025, published circa March 2026",2026-08-01,https://themlc.com/hubfs/The%20MLC%202025%20Annual%20Report.pdf,11_streaming_royalties,
"Surveys, studies, and industry reports",MLC,Historical Unmatched Royalties dashboard,live dashboard; snapshot 2026-08-01,2026-08-01,https://www.themlc.com/historical-unmatched-royalties,11_streaming_royalties,figures update continuously as matches are made
"Surveys, studies, and industry reports",SoundExchange,2024 Fiscal Report (audited),"FY2024, with FY2022--2023 comparison",2026-08-01,https://soundexchange.com/wp-content/uploads/2025/05/2024-SoundExchange-Fiscal-Report-Audited-Financials.pdf,11_streaming_royalties,official filing under 37 C.F.R. 370.5(c); the highest-confidence source in this category
"Surveys, studies, and industry reports",SoundExchange,"Press release, Q2 2025 distributions","August 21, 2025",2026-08-01,https://soundexchange.com/2025/08/21/soundexchange-distributes-241-million-in-digital-royalties-to-creators-in-q2-2025/,11_streaming_royalties,
"Surveys, studies, and industry reports",SoundExchange,“Tops $13B Distribution Milestone” (press release),2025,2026-08-01,https://soundexchange.com/news/soundexchange-tops-13b-distribution-milestone/,11_streaming_royalties,
"Surveys, studies, and industry reports",National Assembly of State Arts Agencies (NASAA),"State Arts Agency Revenues, Fiscal Year 2026",February 2026,2026-08-01,https://nasaa-arts.org/wp-content/uploads/2026/02/FY2026-State-Arts-Agency-Revenues-Report_final-updated.pdf,03_creative_economy_bea,"agency self-report survey gathered October--December of the preceding year; “current year” figures are enacted/projected, not year-end actuals"
"Surveys, studies, and industry reports",NASAA,"State Arts Agency Revenues, Fiscal Year 2025",February 2025,2026-08-01,https://tsd-wpe-largefs-storage.s3.us-east-1.amazonaws.com/nasaa/fileBucket/2025/02/FY2025-State-Arts-Agency-Revenues-Report_021225.pdf,03_creative_economy_bea,
"Surveys, studies, and industry reports",NASAA,"Public Funding Sourcebook (state-by-state appropriations, 1970--present)",current as of retrieval,2026-08-01,https://nasaa-arts.org/nasaa_research/sourcebook-data/,06_state_policy_benchmark,member/purchase-gated; not independently accessed
"Surveys, studies, and industry reports",Spotify,Loud & Clear (self-published royalty and payout data),"2025 royalty data, published circa March 2026",2026-08-01,https://loudandclear.byspotify.com/,11_streaming_royalties,"platform-reported, self-published, not independently audited"
"Surveys, studies, and industry reports",Spotify,Loud and Clear: Music Economics Highlights (Newsroom post),"March 11, 2026",2026-08-01,https://newsroom.spotify.com/2026-03-11/loud-and-clear-music-economics-highlights/,11_streaming_royalties,
"Surveys, studies, and industry reports","Bazinet, Jason, lead author (Citi GPS: Global Perspectives & Solutions)",Putting the Band Back Together: Remastering the World of Music,"August 6, 2018",2026-08-01,https://www.citigroup.com/global/insights/music-industry,11_streaming_royalties,the widely cited 12% artist-share figure counts $16.9 billion of radio and video advertising revenue in its $43 billion denominator; the direction of the trend (rising from 7% in 2000) is often reported backwards
"Surveys, studies, and industry reports",Union of Musicians and Allied Workers (UMAW),Justice at Spotify (campaign page),campaign launched October 2020,2026-08-01,https://weareumaw.org/justice-at-spotify,11_streaming_royalties,"advocacy arithmetic, not audited data; UMAW has never fielded a survey of its own members’ earnings"
"Surveys, studies, and industry reports",UMAW,Streaming resources page,current as of retrieval,2026-08-01,https://weareumaw.org/streaming-resources,11_streaming_royalties,
"Surveys, studies, and industry reports",UMAW,Fair Pay at SXSW (campaign page),2024 cycle,2026-08-01,https://weareumaw.org/fair-pay-at-sxsw,05_music_census_pay_surveys,
"Surveys, studies, and industry reports",Music Workers Alliance,Website and per-stream advocacy figures,current as of retrieval,2026-08-01,https://www.musicworkersalliance.org/,11_streaming_royalties,no earnings survey or member income data; figures derive from the same third-party per-stream rate as UMAW
"Surveys, studies, and industry reports",The Trichordist,Royalty Rates (blog category),figures mostly 2015--2019 vintage,2026-08-01,https://thetrichordist.com/category/royalty-rates-2/,11_streaming_royalties,"self-described artist-advocacy blog; data from confidentially supplied indie-label figures, not independently verifiable; the ultimate source behind most third-party per-stream-rate claims in this category"
"Surveys, studies, and industry reports",American Federation of Musicians (AFM),"Sound Recording Labor Agreement (SRLA), scale rates in effect through July 31, 2026",current through 2026-07-31,2026-08-01,URL not recorded,05_music_census_pay_surveys,"local file only, no public URL recorded"
"Surveys, studies, and industry reports","American Federation of Musicians, Local 433 (Austin)",Local chapter page,snapshot 2026-08-01,2026-08-01,https://afm433.com,11_streaming_royalties,publishes no scale rates of any kind; Austin union scale is not public
"Surveys, studies, and industry reports",Goldman Sachs,Music streaming services are on the cusp of major structural change,"July 31, 2023",2026-08-01,https://www.goldmansachs.com/insights/articles/music-streaming-services-are-on-the-cusp-of-major-structural-change,11_streaming_royalties,the full “Music in the Air” report is client-only for every edition; no artist-earnings split is public in any Goldman material
"Surveys, studies, and industry reports","Castle, Christian L., and Claudio Feijóo (World Intellectual Property Organization, Standing Committee on Copyright and Related Rights)",Study on the Artists in the Digital Music Marketplace: Economic and Legal Considerations (SCCR/41/3),"June 1, 2021",2026-08-01,URL not recorded,11_streaming_royalties,"local file only, no public URL recorded; the study’s own disclaimer states it does not reflect the views of WIPO or its member states"
"Surveys, studies, and industry reports",Bandcamp,Homepage and Fair Trade Music Policy page (cumulative artist payouts),snapshot 2026-08-01,2026-08-01,https://bandcamp.com/,11_streaming_royalties,undated marketing counters; the homepage and policy-page totals disagree slightly
"Surveys, studies, and industry reports",Patreon,About page (cumulative creator earnings),snapshot 2026-08-01,2026-08-01,https://www.patreon.com/about,11_streaming_royalties,undated marketing-page counters with no musician-specific breakout
"Surveys, studies, and industry reports",Duetti,2024 Music Economics Report,"published January 23, 2025, covering calendar 2024",2026-08-01,https://report.duetti.co,11_streaming_royalties,Duetti buys independent artists’ catalogs and has a direct financial stake in perceived per-stream rates
News and trade coverage,Austin Chronicle,"Your Live Music Fund FAQs, Answered",2026-07-16,2026-08-01,https://www.austinchronicle.com/music/2026-07-16/your-live-music-fund-faqs-answered/,05_music_census_pay_surveys,
News and trade coverage,Austin Chronicle,A Threat to the Empire (Caroline Drew),2026-01-15,2026-08-01,https://www.austinchronicle.com/music/a-threat-to-the-empire/,08_venues_ecosystem,
